"Lookup"	"Year"	"Sector"	"End Use"	"Fuel"	"Value"
"2017IndustryDrying/separationOil"	2017	"Industry"	"Drying/separation"	"Oil"	79.5376175906474
"2017IndustryUnkown (heat)Oil"	2017	"Industry"	"Unkown (heat)"	"Oil"	0
"2017IndustryHeat totalOil"	2017	"Industry"	"Heat total"	"Oil"	642.057567296535
"2017IndustryMotorsOil"	2017	"Industry"	"Motors"	"Oil"	0
"2017IndustryCompressed airOil"	2017	"Industry"	"Compressed air"	"Oil"	0
"2017IndustryLightingOil"	2017	"Industry"	"Lighting"	"Oil"	0
"2017IndustryRefrigerationOil"	2017	"Industry"	"Refrigeration"	"Oil"	0
"2017IndustryOtherOil"	2017	"Industry"	"Other"	"Oil"	75.1972366627635
"2017IndustryOverall totalOil"	2017	"Industry"	"Overall total"	"Oil"	717.254803959298
"2017TransportNon-heat purposesOil"	2017	"Transport"	"Non-heat purposes"	"Oil"	55578.5875544169
"2017TotalSpace heatingOil"	2017	"Total"	"Space heating"	"Oil"	3724.42276783316
"2017TotalWater heatingOil"	2017	"Total"	"Water heating"	"Oil"	727.464461400115
"2017TotalCooking/cateringOil"	2017	"Total"	"Cooking/catering"	"Oil"	803.009704549856
"2017TotalProcess useOil"	2017	"Total"	"Process use"	"Oil"	437.132685941113
"2017TotalDrying/separationOil"	2017	"Total"	"Drying/separation"	"Oil"	79.5376175906474
"2017TotalUnkown (heat)Oil"	2017	"Total"	"Unkown (heat)"	"Oil"	0
"2017TotalHeat totalOil"	2017	"Total"	"Heat total"	"Oil"	5771.5672373149
"2017TotalComputingOil"	2017	"Total"	"Computing"	"Oil"	0
"2017TotalCooling and ventilationOil"	2017	"Total"	"Cooling and ventilation"	"Oil"	42.9597291186696
"2017TotalLighting and appliancesOil"	2017	"Total"	"Lighting and appliances"	"Oil"	0
"2017TotalMotorsOil"	2017	"Total"	"Motors"	"Oil"	0
"2017TotalCompressed airOil"	2017	"Total"	"Compressed air"	"Oil"	0
"2017TotalRefrigerationOil"	2017	"Total"	"Refrigeration"	"Oil"	0
"2017TotalOtherOil"	2017	"Total"	"Other"	"Oil"	137.582981100973
"2017TotalTransportOil"	2017	"Total"	"Transport"	"Oil"	55578.5875544169
"2017TotalNon-heat totalOil"	2017	"Total"	"Non-heat total"	"Oil"	55759.1302646366
"2017TotalOverall totalOil"	2017	"Total"	"Overall total"	"Oil"	61530.6975019515
"2017TotalOverall total excluding transportOil"	2017	"Total"	"Overall total excluding transport"	"Oil"	5952.10994753454
"2016DomesticSpace heatingOil"	2016	"Domestic"	"Space heating"	"Oil"	2021.70692610579
"2016DomesticHeat totalOil"	2016	"Domestic"	"Heat total"	"Oil"	2512.89632702123
"2016DomesticLighting and appliancesOil"	2016	"Domestic"	"Lighting and appliances"	"Oil"	0
"2016DomesticOverall totalOil"	2016	"Domestic"	"Overall total"	"Oil"	2512.89632702123
"2016ServiceSpace heatingOil"	2016	"Service"	"Space heating"	"Oil"	1606.22817111913
"2016ServiceWater heatingOil"	2016	"Service"	"Water heating"	"Oil"	257.705850338938
"2016ServiceCooking/cateringOil"	2016	"Service"	"Cooking/catering"	"Oil"	804.507789604611
"2016ServiceHeat totalOil"	2016	"Service"	"Heat total"	"Oil"	2668.44181106268
"2016ServiceComputingOil"	2016	"Service"	"Computing"	"Oil"	0
"2016ServiceCooling and ventilationOil"	2016	"Service"	"Cooling and ventilation"	"Oil"	43.0398742623513
"2016ServiceLightingOil"	2016	"Service"	"Lighting"	"Oil"	0
