"Lookup"	"Year"	"Sector"	"End Use"	"Fuel"	"Value"
"2011DomesticCooking/cateringOil"	2011	"Domestic"	"Cooking/catering"	"Oil"	0
"2011DomesticHeat totalOil"	2011	"Domestic"	"Heat total"	"Oil"	2669.02
"2011DomesticLighting and appliancesOil"	2011	"Domestic"	"Lighting and appliances"	"Oil"	0
"2011DomesticOverall totalOil"	2011	"Domestic"	"Overall total"	"Oil"	2669.02
"2011ServiceSpace heatingOil"	2011	"Service"	"Space heating"	"Oil"	913.65
"2011ServiceWater heatingOil"	2011	"Service"	"Water heating"	"Oil"	94.07
"2011ServiceCooking/cateringOil"	2011	"Service"	"Cooking/catering"	"Oil"	38.56
"2011ServiceHeat totalOil"	2011	"Service"	"Heat total"	"Oil"	1046.28
"2011ServiceComputingOil"	2011	"Service"	"Computing"	"Oil"	0
"2011ServiceCooling and ventilationOil"	2011	"Service"	"Cooling and ventilation"	"Oil"	0
"2011ServiceLightingOil"	2011	"Service"	"Lighting"	"Oil"	0
"2011ServiceOtherOil"	2011	"Service"	"Other"	"Oil"	10.94
"2011ServiceOverall totalOil"	2011	"Service"	"Overall total"	"Oil"	1057.22
"2011IndustrySpace heatingOil"	2011	"Industry"	"Space heating"	"Oil"	104.94
"2011IndustryHigh temperature processOil"	2011	"Industry"	"High temperature process"	"Oil"	176.3
"2011IndustryLow temperature processOil"	2011	"Industry"	"Low temperature process"	"Oil"	284.89
"2011IndustryDrying/separationOil"	2011	"Industry"	"Drying/separation"	"Oil"	88.2
"2011IndustryHeat totalOil"	2011	"Industry"	"Heat total"	"Oil"	654.33
"2011IndustryMotorsOil"	2011	"Industry"	"Motors"	"Oil"	0
"2011IndustryCompressed airOil"	2011	"Industry"	"Compressed air"	"Oil"	0
"2011IndustryLightingOil"	2011	"Industry"	"Lighting"	"Oil"	0
"2011IndustryRefrigerationOil"	2011	"Industry"	"Refrigeration"	"Oil"	0
"2011IndustryOtherOil"	2011	"Industry"	"Other"	"Oil"	84.67
"2011IndustryOverall totalOil"	2011	"Industry"	"Overall total"	"Oil"	739.01
"2011TransportNon-heat purposesOil"	2011	"Transport"	"Non-heat purposes"	"Oil"	52992.94
"2011TotalSpace heatingOil"	2011	"Total"	"Space heating"	"Oil"	3205.62
"2011TotalWater heatingOil"	2011	"Total"	"Water heating"	"Oil"	576.06
"2011TotalCooking/cateringOil"	2011	"Total"	"Cooking/catering"	"Oil"	38.56
"2011TotalProcess useOil"	2011	"Total"	"Process use"	"Oil"	461.19
"2011TotalDrying/separationOil"	2011	"Total"	"Drying/separation"	"Oil"	88.2
"2011TotalHeat totalOil"	2011	"Total"	"Heat total"	"Oil"	4369.63
"2011TotalComputingOil"	2011	"Total"	"Computing"	"Oil"	0
"2011TotalCooling and ventilationOil"	2011	"Total"	"Cooling and ventilation"	"Oil"	0
"2011TotalLighting and appliancesOil"	2011	"Total"	"Lighting and appliances"	"Oil"	0
"2011TotalMotorsOil"	2011	"Total"	"Motors"	"Oil"	0
"2011TotalCompressed airOil"	2011	"Total"	"Compressed air"	"Oil"	0
"2011TotalRefrigerationOil"	2011	"Total"	"Refrigeration"	"Oil"	0
"2011TotalOtherOil"	2011	"Total"	"Other"	"Oil"	95.62
"2011TotalTransportOil"	2011	"Total"	"Transport"	"Oil"	52992.94
"2011TotalNon-heat totalOil"	2011	"Total"	"Non-heat total"	"Oil"	53088.56
"2011TotalOverall totalOil"	2011	"Total"	"Overall total"	"Oil"	57458.19
"2011TotalOverall total excluding transportOil"	2011	"Total"	"Overall total excluding transport"	"Oil"	4465.25
"2010DomesticSpace heatingOil"	2010	"Domestic"	"Space heating"	"Oil"	2951.26
"2010DomesticWater heatingOil"	2010	"Domestic"	"Water heating"	"Oil"	476.49
"2010DomesticCooking/cateringOil"	2010	"Domestic"	"Cooking/catering"	"Oil"	0
"2010DomesticHeat totalOil"	2010	"Domestic"	"Heat total"	"Oil"	3427.74
"2010DomesticLighting and appliancesOil"	2010	"Domestic"	"Lighting and appliances"	"Oil"	0
"2010DomesticOverall totalOil"	2010	"Domestic"	"Overall total"	"Oil"	3427.74
"2010ServiceSpace heatingOil"	2010	"Service"	"Space heating"	"Oil"	815.22
"2010ServiceWater heatingOil"	2010	"Service"	"Water heating"	"Oil"	85.22
"2010ServiceCooking/cateringOil"	2010	"Service"	"Cooking/catering"	"Oil"	34.72
"2010ServiceHeat totalOil"	2010	"Service"	"Heat total"	"Oil"	935.16
"2010ServiceComputingOil"	2010	"Service"	"Computing"	"Oil"	0
"2010ServiceCooling and ventilationOil"	2010	"Service"	"Cooling and ventilation"	"Oil"	0
"2010ServiceLightingOil"	2010	"Service"	"Lighting"	"Oil"	0
"2010ServiceOtherOil"	2010	"Service"	"Other"	"Oil"	9.91
"2010ServiceOverall totalOil"	2010	"Service"	"Overall total"	"Oil"	945.08
"2010IndustrySpace heatingOil"	2010	"Industry"	"Space heating"	"Oil"	110.89
"2010IndustryHigh temperature processOil"	2010	"Industry"	"High temperature process"	"Oil"	213.52
"2010IndustryLow temperature processOil"	2010	"Industry"	"Low temperature process"	"Oil"	368.12
"2010IndustryDrying/separationOil"	2010	"Industry"	"Drying/separation"	"Oil"	130.94
"2010IndustryHeat totalOil"	2010	"Industry"	"Heat total"	"Oil"	823.47
"2010IndustryMotorsOil"	2010	"Industry"	"Motors"	"Oil"	0
"2010IndustryCompressed airOil"	2010	"Industry"	"Compressed air"	"Oil"	0
"2010IndustryLightingOil"	2010	"Industry"	"Lighting"	"Oil"	0
"2010IndustryRefrigerationOil"	2010	"Industry"	"Refrigeration"	"Oil"	0
"2010IndustryOtherOil"	2010	"Industry"	"Other"	"Oil"	115.6
"2010IndustryOverall totalOil"	2010	"Industry"	"Overall total"	"Oil"	939.07
"2010TransportNon-heat purposesOil"	2010	"Transport"	"Non-heat purposes"	"Oil"	53055.02
"2010TotalSpace heatingOil"	2010	"Total"	"Space heating"	"Oil"	3877.37
"2010TotalWater heatingOil"	2010	"Total"	"Water heating"	"Oil"	561.71
"2010TotalCooking/cateringOil"	2010	"Total"	"Cooking/catering"	"Oil"	34.72
"2010TotalProcess useOil"	2010	"Total"	"Process use"	"Oil"	581.63
"2010TotalDrying/separationOil"	2010	"Total"	"Drying/separation"	"Oil"	130.94
"2010TotalHeat totalOil"	2010	"Total"	"Heat total"	"Oil"	5186.38
"2010TotalComputingOil"	2010	"Total"	"Computing"	"Oil"	0
"2010TotalCooling and ventilationOil"	2010	"Total"	"Cooling and ventilation"	"Oil"	0
"2010TotalLighting and appliancesOil"	2010	"Total"	"Lighting and appliances"	"Oil"	0
"2010TotalMotorsOil"	2010	"Total"	"Motors"	"Oil"	0
"2010TotalCompressed airOil"	2010	"Total"	"Compressed air"	"Oil"	0
"2010TotalRefrigerationOil"	2010	"Total"	"Refrigeration"	"Oil"	0
"2010TotalOtherOil"	2010	"Total"	"Other"	"Oil"	125.51
"2010TotalTransportOil"	2010	"Total"	"Transport"	"Oil"	53055.02
"2010TotalNon-heat totalOil"	2010	"Total"	"Non-heat total"	"Oil"	53180.54
"2010TotalOverall totalOil"	2010	"Total"	"Overall total"	"Oil"	58366.91
"2010TotalOverall total excluding transportOil"	2010	"Total"	"Overall total excluding transport"	"Oil"	5311.89
"2015DomesticSpace heatingSolid Fuel"	2015	"Domestic"	"Space heating"	"Solid Fuel"	550.41
"2015DomesticWater heatingSolid Fuel"	2015	"Domestic"	"Water heating"	"Solid Fuel"	34.36
"2015DomesticCooking/cateringSolid Fuel"	2015	"Domestic"	"Cooking/catering"	"Solid Fuel"	0
"2015DomesticHeat totalSolid Fuel"	2015	"Domestic"	"Heat total"	"Solid Fuel"	584.76
"2015DomesticLighting and appliancesSolid Fuel"	2015	"Domestic"	"Lighting and appliances"	"Solid Fuel"	0
"2015DomesticOverall totalSolid Fuel"	2015	"Domestic"	"Overall total"	"Solid Fuel"	584.76
"2015ServiceSpace heatingSolid Fuel"	2015	"Service"	"Space heating"	"Solid Fuel"	0
"2015ServiceWater heatingSolid Fuel"	2015	"Service"	"Water heating"	"Solid Fuel"	0
"2015ServiceCooking/cateringSolid Fuel"	2015	"Service"	"Cooking/catering"	"Solid Fuel"	0
"2015ServiceHeat totalSolid Fuel"	2015	"Service"	"Heat total"	"Solid Fuel"	0
"2015ServiceComputingSolid Fuel"	2015	"Service"	"Computing"	"Solid Fuel"	0
"2015ServiceCooling and ventilationSolid Fuel"	2015	"Service"	"Cooling and ventilation"	"Solid Fuel"	0
"2015ServiceLightingSolid Fuel"	2015	"Service"	"Lighting"	"Solid Fuel"	0
"2015ServiceOtherSolid Fuel"	2015	"Service"	"Other"	"Solid Fuel"	0
"2015ServiceOverall totalSolid Fuel"	2015	"Service"	"Overall total"	"Solid Fuel"	0
"2015IndustrySpace heatingSolid Fuel"	2015	"Industry"	"Space heating"	"Solid Fuel"	127.75
"2015IndustryHigh temperature processSolid Fuel"	2015	"Industry"	"High temperature process"	"Solid Fuel"	1052.47
"2015IndustryLow temperature processSolid Fuel"	2015	"Industry"	"Low temperature process"	"Solid Fuel"	329.63
"2015IndustryDrying/separationSolid Fuel"	2015	"Industry"	"Drying/separation"	"Solid Fuel"	171.11
"2015IndustryHeat totalSolid Fuel"	2015	"Industry"	"Heat total"	"Solid Fuel"	1680.97
"2015IndustryMotorsSolid Fuel"	2015	"Industry"	"Motors"	"Solid Fuel"	0
"2015IndustryCompressed airSolid Fuel"	2015	"Industry"	"Compressed air"	"Solid Fuel"	0
"2015IndustryLightingSolid Fuel"	2015	"Industry"	"Lighting"	"Solid Fuel"	0
"2015IndustryRefrigerationSolid Fuel"	2015	"Industry"	"Refrigeration"	"Solid Fuel"	0
"2015IndustryOtherSolid Fuel"	2015	"Industry"	"Other"	"Solid Fuel"	192.11
"2015IndustryOverall totalSolid Fuel"	2015	"Industry"	"Overall total"	"Solid Fuel"	1873.08
"2015TransportNon-heat purposesSolid Fuel"	2015	"Transport"	"Non-heat purposes"	"Solid Fuel"	9.36
"2015TotalSpace heatingSolid Fuel"	2015	"Total"	"Space heating"	"Solid Fuel"	678.15
"2015TotalWater heatingSolid Fuel"	2015	"Total"	"Water heating"	"Solid Fuel"	34.36
"2015TotalCooking/cateringSolid Fuel"	2015	"Total"	"Cooking/catering"	"Solid Fuel"	0
"2015TotalProcess useSolid Fuel"	2015	"Total"	"Process use"	"Solid Fuel"	1382.1
"2015TotalDrying/separationSolid Fuel"	2015	"Total"	"Drying/separation"	"Solid Fuel"	171.11
"2015TotalHeat totalSolid Fuel"	2015	"Total"	"Heat total"	"Solid Fuel"	2265.73
"2015TotalComputingSolid Fuel"	2015	"Total"	"Computing"	"Solid Fuel"	0
"2015TotalCooling and ventilationSolid Fuel"	2015	"Total"	"Cooling and ventilation"	"Solid Fuel"	0
"2015TotalLighting and appliancesSolid Fuel"	2015	"Total"	"Lighting and appliances"	"Solid Fuel"	0
"2015TotalMotorsSolid Fuel"	2015	"Total"	"Motors"	"Solid Fuel"	0
"2015TotalCompressed airSolid Fuel"	2015	"Total"	"Compressed air"	"Solid Fuel"	0
"2015TotalRefrigerationSolid Fuel"	2015	"Total"	"Refrigeration"	"Solid Fuel"	0
"2015TotalOtherSolid Fuel"	2015	"Total"	"Other"	"Solid Fuel"	192.11
"2015TotalTransportSolid Fuel"	2015	"Total"	"Transport"	"Solid Fuel"	9.36
"2015TotalNon-heat totalSolid Fuel"	2015	"Total"	"Non-heat total"	"Solid Fuel"	201.47
"2015TotalOverall totalSolid Fuel"	2015	"Total"	"Overall total"	"Solid Fuel"	2467.21
"2015TotalOverall total excluding transportSolid Fuel"	2015	"Total"	"Overall total excluding transport"	"Solid Fuel"	2457.84
"2014DomesticSpace heatingSolid Fuel"	2014	"Domestic"	"Space heating"	"Solid Fuel"	513.2
"2014DomesticWater heatingSolid Fuel"	2014	"Domestic"	"Water heating"	"Solid Fuel"	83.73
"2014DomesticCooking/cateringSolid Fuel"	2014	"Domestic"	"Cooking/catering"	"Solid Fuel"	0
"2014DomesticHeat totalSolid Fuel"	2014	"Domestic"	"Heat total"	"Solid Fuel"	596.93
"2014DomesticLighting and appliancesSolid Fuel"	2014	"Domestic"	"Lighting and appliances"	"Solid Fuel"	0
"2014DomesticOverall totalSolid Fuel"	2014	"Domestic"	"Overall total"	"Solid Fuel"	596.93
"2014ServiceSpace heatingSolid Fuel"	2014	"Service"	"Space heating"	"Solid Fuel"	22.1
"2014ServiceWater heatingSolid Fuel"	2014	"Service"	"Water heating"	"Solid Fuel"	3.25
"2014ServiceCooking/cateringSolid Fuel"	2014	"Service"	"Cooking/catering"	"Solid Fuel"	0.2
"2014ServiceHeat totalSolid Fuel"	2014	"Service"	"Heat total"	"Solid Fuel"	25.55
"2014ServiceComputingSolid Fuel"	2014	"Service"	"Computing"	"Solid Fuel"	0
"2014ServiceCooling and ventilationSolid Fuel"	2014	"Service"	"Cooling and ventilation"	"Solid Fuel"	0
"2014ServiceLightingSolid Fuel"	2014	"Service"	"Lighting"	"Solid Fuel"	0
"2014ServiceOtherSolid Fuel"	2014	"Service"	"Other"	"Solid Fuel"	0
"2014ServiceOverall totalSolid Fuel"	2014	"Service"	"Overall total"	"Solid Fuel"	25.55
"2014IndustrySpace heatingSolid Fuel"	2014	"Industry"	"Space heating"	"Solid Fuel"	152.47
"2014IndustryHigh temperature processSolid Fuel"	2014	"Industry"	"High temperature process"	"Solid Fuel"	1172.48
"2014IndustryLow temperature processSolid Fuel"	2014	"Industry"	"Low temperature process"	"Solid Fuel"	387.68
"2014IndustryDrying/separationSolid Fuel"	2014	"Industry"	"Drying/separation"	"Solid Fuel"	208.33
"2014IndustryHeat totalSolid Fuel"	2014	"Industry"	"Heat total"	"Solid Fuel"	1920.96
"2014IndustryMotorsSolid Fuel"	2014	"Industry"	"Motors"	"Solid Fuel"	0
"2014IndustryCompressed airSolid Fuel"	2014	"Industry"	"Compressed air"	"Solid Fuel"	0
"2014IndustryLightingSolid Fuel"	2014	"Industry"	"Lighting"	"Solid Fuel"	0
"2014IndustryRefrigerationSolid Fuel"	2014	"Industry"	"Refrigeration"	"Solid Fuel"	0
"2014IndustryOtherSolid Fuel"	2014	"Industry"	"Other"	"Solid Fuel"	219.4
"2014IndustryOverall totalSolid Fuel"	2014	"Industry"	"Overall total"	"Solid Fuel"	2140.37
"2014TransportNon-heat purposesSolid Fuel"	2014	"Transport"	"Non-heat purposes"	"Solid Fuel"	9.36
"2014TotalSpace heatingSolid Fuel"	2014	"Total"	"Space heating"	"Solid Fuel"	687.78
"2014TotalWater heatingSolid Fuel"	2014	"Total"	"Water heating"	"Solid Fuel"	86.97
"2014TotalCooking/cateringSolid Fuel"	2014	"Total"	"Cooking/catering"	"Solid Fuel"	0.2
"2014TotalProcess useSolid Fuel"	2014	"Total"	"Process use"	"Solid Fuel"	1560.16
"2014TotalDrying/separationSolid Fuel"	2014	"Total"	"Drying/separation"	"Solid Fuel"	208.33
"2014TotalHeat totalSolid Fuel"	2014	"Total"	"Heat total"	"Solid Fuel"	2543.44
"2014TotalComputingSolid Fuel"	2014	"Total"	"Computing"	"Solid Fuel"	0
"2014TotalCooling and ventilationSolid Fuel"	2014	"Total"	"Cooling and ventilation"	"Solid Fuel"	0
"2014TotalLighting and appliancesSolid Fuel"	2014	"Total"	"Lighting and appliances"	"Solid Fuel"	0
"2014TotalMotorsSolid Fuel"	2014	"Total"	"Motors"	"Solid Fuel"	0
"2014TotalCompressed airSolid Fuel"	2014	"Total"	"Compressed air"	"Solid Fuel"	0
"2014TotalRefrigerationSolid Fuel"	2014	"Total"	"Refrigeration"	"Solid Fuel"	0
"2014TotalOtherSolid Fuel"	2014	"Total"	"Other"	"Solid Fuel"	219.4
"2014TotalTransportSolid Fuel"	2014	"Total"	"Transport"	"Solid Fuel"	9.36
"2014TotalNon-heat totalSolid Fuel"	2014	"Total"	"Non-heat total"	"Solid Fuel"	228.77
"2014TotalOverall totalSolid Fuel"	2014	"Total"	"Overall total"	"Solid Fuel"	2772.21
"2014TotalOverall total excluding transportSolid Fuel"	2014	"Total"	"Overall total excluding transport"	"Solid Fuel"	2762.84
"2013DomesticSpace heatingSolid Fuel"	2013	"Domestic"	"Space heating"	"Solid Fuel"	607.44
"2013DomesticWater heatingSolid Fuel"	2013	"Domestic"	"Water heating"	"Solid Fuel"	99.1
"2013DomesticCooking/cateringSolid Fuel"	2013	"Domestic"	"Cooking/catering"	"Solid Fuel"	0
"2013DomesticHeat totalSolid Fuel"	2013	"Domestic"	"Heat total"	"Solid Fuel"	706.54
"2013DomesticLighting and appliancesSolid Fuel"	2013	"Domestic"	"Lighting and appliances"	"Solid Fuel"	0
"2013DomesticOverall totalSolid Fuel"	2013	"Domestic"	"Overall total"	"Solid Fuel"	706.54
"2013ServiceSpace heatingSolid Fuel"	2013	"Service"	"Space heating"	"Solid Fuel"	21.65
"2013ServiceWater heatingSolid Fuel"	2013	"Service"	"Water heating"	"Solid Fuel"	3.22
"2013ServiceCooking/cateringSolid Fuel"	2013	"Service"	"Cooking/catering"	"Solid Fuel"	0.19
"2013ServiceHeat totalSolid Fuel"	2013	"Service"	"Heat total"	"Solid Fuel"	25.06
"2013ServiceComputingSolid Fuel"	2013	"Service"	"Computing"	"Solid Fuel"	0
"2013ServiceCooling and ventilationSolid Fuel"	2013	"Service"	"Cooling and ventilation"	"Solid Fuel"	0
"2013ServiceLightingSolid Fuel"	2013	"Service"	"Lighting"	"Solid Fuel"	0
"2013ServiceOtherSolid Fuel"	2013	"Service"	"Other"	"Solid Fuel"	0
"2013ServiceOverall totalSolid Fuel"	2013	"Service"	"Overall total"	"Solid Fuel"	25.06
"2013IndustrySpace heatingSolid Fuel"	2013	"Industry"	"Space heating"	"Solid Fuel"	129.86
"2013IndustryHigh temperature processSolid Fuel"	2013	"Industry"	"High temperature process"	"Solid Fuel"	1215.8
"2013IndustryLow temperature processSolid Fuel"	2013	"Industry"	"Low temperature process"	"Solid Fuel"	332.03
"2013IndustryDrying/separationSolid Fuel"	2013	"Industry"	"Drying/separation"	"Solid Fuel"	183.15
"2013IndustryHeat totalSolid Fuel"	2013	"Industry"	"Heat total"	"Solid Fuel"	1860.83
"2013IndustryMotorsSolid Fuel"	2013	"Industry"	"Motors"	"Solid Fuel"	0
"2013IndustryCompressed airSolid Fuel"	2013	"Industry"	"Compressed air"	"Solid Fuel"	0
"2013IndustryLightingSolid Fuel"	2013	"Industry"	"Lighting"	"Solid Fuel"	0
"2013IndustryRefrigerationSolid Fuel"	2013	"Industry"	"Refrigeration"	"Solid Fuel"	0
"2013IndustryOtherSolid Fuel"	2013	"Industry"	"Other"	"Solid Fuel"	208.4
"2013IndustryOverall totalSolid Fuel"	2013	"Industry"	"Overall total"	"Solid Fuel"	2069.23
"2013TransportNon-heat purposesSolid Fuel"	2013	"Transport"	"Non-heat purposes"	"Solid Fuel"	9.88
"2013TotalSpace heatingSolid Fuel"	2013	"Total"	"Space heating"	"Solid Fuel"	758.95
"2013TotalWater heatingSolid Fuel"	2013	"Total"	"Water heating"	"Solid Fuel"	102.32
"2013TotalCooking/cateringSolid Fuel"	2013	"Total"	"Cooking/catering"	"Solid Fuel"	0.19
"2013TotalProcess useSolid Fuel"	2013	"Total"	"Process use"	"Solid Fuel"	1547.82
"2013TotalDrying/separationSolid Fuel"	2013	"Total"	"Drying/separation"	"Solid Fuel"	183.15
"2013TotalHeat totalSolid Fuel"	2013	"Total"	"Heat total"	"Solid Fuel"	2592.43
"2013TotalComputingSolid Fuel"	2013	"Total"	"Computing"	"Solid Fuel"	0
"2013TotalCooling and ventilationSolid Fuel"	2013	"Total"	"Cooling and ventilation"	"Solid Fuel"	0
"2013TotalLighting and appliancesSolid Fuel"	2013	"Total"	"Lighting and appliances"	"Solid Fuel"	0
"2013TotalMotorsSolid Fuel"	2013	"Total"	"Motors"	"Solid Fuel"	0
"2013TotalCompressed airSolid Fuel"	2013	"Total"	"Compressed air"	"Solid Fuel"	0
"2013TotalRefrigerationSolid Fuel"	2013	"Total"	"Refrigeration"	"Solid Fuel"	0
"2013TotalOtherSolid Fuel"	2013	"Total"	"Other"	"Solid Fuel"	208.4
"2013TotalTransportSolid Fuel"	2013	"Total"	"Transport"	"Solid Fuel"	9.88
"2013TotalNon-heat totalSolid Fuel"	2013	"Total"	"Non-heat total"	"Solid Fuel"	218.28
"2013TotalOverall totalSolid Fuel"	2013	"Total"	"Overall total"	"Solid Fuel"	2810.71
"2013TotalOverall total excluding transportSolid Fuel"	2013	"Total"	"Overall total excluding transport"	"Solid Fuel"	2800.83
"2012DomesticSpace heatingSolid Fuel"	2012	"Domestic"	"Space heating"	"Solid Fuel"	609.49
"2012DomesticWater heatingSolid Fuel"	2012	"Domestic"	"Water heating"	"Solid Fuel"	81.65
"2012DomesticCooking/cateringSolid Fuel"	2012	"Domestic"	"Cooking/catering"	"Solid Fuel"	0
"2012DomesticHeat totalSolid Fuel"	2012	"Domestic"	"Heat total"	"Solid Fuel"	691.14
"2012DomesticLighting and appliancesSolid Fuel"	2012	"Domestic"	"Lighting and appliances"	"Solid Fuel"	0
"2012DomesticOverall totalSolid Fuel"	2012	"Domestic"	"Overall total"	"Solid Fuel"	691.14
"2012ServiceSpace heatingSolid Fuel"	2012	"Service"	"Space heating"	"Solid Fuel"	13.27
"2012ServiceWater heatingSolid Fuel"	2012	"Service"	"Water heating"	"Solid Fuel"	2.55
"2012ServiceCooking/cateringSolid Fuel"	2012	"Service"	"Cooking/catering"	"Solid Fuel"	0.12
"2012ServiceHeat totalSolid Fuel"	2012	"Service"	"Heat total"	"Solid Fuel"	15.94
"2012ServiceComputingSolid Fuel"	2012	"Service"	"Computing"	"Solid Fuel"	0
"2012ServiceCooling and ventilationSolid Fuel"	2012	"Service"	"Cooling and ventilation"	"Solid Fuel"	0
"2012ServiceLightingSolid Fuel"	2012	"Service"	"Lighting"	"Solid Fuel"	0
"2012ServiceOtherSolid Fuel"	2012	"Service"	"Other"	"Solid Fuel"	0
"2012ServiceOverall totalSolid Fuel"	2012	"Service"	"Overall total"	"Solid Fuel"	15.94
"2012IndustrySpace heatingSolid Fuel"	2012	"Industry"	"Space heating"	"Solid Fuel"	91.39
"2012IndustryHigh temperature processSolid Fuel"	2012	"Industry"	"High temperature process"	"Solid Fuel"	1004.2
"2012IndustryLow temperature processSolid Fuel"	2012	"Industry"	"Low temperature process"	"Solid Fuel"	229.14
"2012IndustryDrying/separationSolid Fuel"	2012	"Industry"	"Drying/separation"	"Solid Fuel"	134.65
"2012IndustryHeat totalSolid Fuel"	2012	"Industry"	"Heat total"	"Solid Fuel"	1459.39
"2012IndustryMotorsSolid Fuel"	2012	"Industry"	"Motors"	"Solid Fuel"	0
"2012IndustryCompressed airSolid Fuel"	2012	"Industry"	"Compressed air"	"Solid Fuel"	0
"2012IndustryLightingSolid Fuel"	2012	"Industry"	"Lighting"	"Solid Fuel"	0
"2012IndustryRefrigerationSolid Fuel"	2012	"Industry"	"Refrigeration"	"Solid Fuel"	0
"2012IndustryOtherSolid Fuel"	2012	"Industry"	"Other"	"Solid Fuel"	159.28
"2012IndustryOverall totalSolid Fuel"	2012	"Industry"	"Overall total"	"Solid Fuel"	1618.67
"2012TransportNon-heat purposesSolid Fuel"	2012	"Transport"	"Non-heat purposes"	"Solid Fuel"	11.6
"2012TotalSpace heatingSolid Fuel"	2012	"Total"	"Space heating"	"Solid Fuel"	714.16
"2012TotalWater heatingSolid Fuel"	2012	"Total"	"Water heating"	"Solid Fuel"	84.2
"2012TotalCooking/cateringSolid Fuel"	2012	"Total"	"Cooking/catering"	"Solid Fuel"	0.12
"2012TotalProcess useSolid Fuel"	2012	"Total"	"Process use"	"Solid Fuel"	1233.34
"2012TotalDrying/separationSolid Fuel"	2012	"Total"	"Drying/separation"	"Solid Fuel"	134.65
"2012TotalHeat totalSolid Fuel"	2012	"Total"	"Heat total"	"Solid Fuel"	2166.47
"2012TotalComputingSolid Fuel"	2012	"Total"	"Computing"	"Solid Fuel"	0
"2012TotalCooling and ventilationSolid Fuel"	2012	"Total"	"Cooling and ventilation"	"Solid Fuel"	0
"2012TotalLighting and appliancesSolid Fuel"	2012	"Total"	"Lighting and appliances"	"Solid Fuel"	0
"2012TotalMotorsSolid Fuel"	2012	"Total"	"Motors"	"Solid Fuel"	0
"2012TotalCompressed airSolid Fuel"	2012	"Total"	"Compressed air"	"Solid Fuel"	0
"2012TotalRefrigerationSolid Fuel"	2012	"Total"	"Refrigeration"	"Solid Fuel"	0
"2012TotalOtherSolid Fuel"	2012	"Total"	"Other"	"Solid Fuel"	159.28
"2012TotalTransportSolid Fuel"	2012	"Total"	"Transport"	"Solid Fuel"	11.6
"2012TotalNon-heat totalSolid Fuel"	2012	"Total"	"Non-heat total"	"Solid Fuel"	170.89
"2012TotalOverall totalSolid Fuel"	2012	"Total"	"Overall total"	"Solid Fuel"	2337.36
"2012TotalOverall total excluding transportSolid Fuel"	2012	"Total"	"Overall total excluding transport"	"Solid Fuel"	2325.76
"2011DomesticSpace heatingSolid Fuel"	2011	"Domestic"	"Space heating"	"Solid Fuel"	677.91
"2011DomesticWater heatingSolid Fuel"	2011	"Domestic"	"Water heating"	"Solid Fuel"	50.22
"2011DomesticCooking/cateringSolid Fuel"	2011	"Domestic"	"Cooking/catering"	"Solid Fuel"	0
"2011DomesticHeat totalSolid Fuel"	2011	"Domestic"	"Heat total"	"Solid Fuel"	728.13
"2011DomesticLighting and appliancesSolid Fuel"	2011	"Domestic"	"Lighting and appliances"	"Solid Fuel"	0
"2011DomesticOverall totalSolid Fuel"	2011	"Domestic"	"Overall total"	"Solid Fuel"	728.13
"2011ServiceSpace heatingSolid Fuel"	2011	"Service"	"Space heating"	"Solid Fuel"	23.41
"2011ServiceWater heatingSolid Fuel"	2011	"Service"	"Water heating"	"Solid Fuel"	3.43
"2011ServiceCooking/cateringSolid Fuel"	2011	"Service"	"Cooking/catering"	"Solid Fuel"	0.21
"2011ServiceHeat totalSolid Fuel"	2011	"Service"	"Heat total"	"Solid Fuel"	27.05
"2011ServiceComputingSolid Fuel"	2011	"Service"	"Computing"	"Solid Fuel"	0
"2011ServiceCooling and ventilationSolid Fuel"	2011	"Service"	"Cooling and ventilation"	"Solid Fuel"	0
"2011ServiceLightingSolid Fuel"	2011	"Service"	"Lighting"	"Solid Fuel"	0
"2011ServiceOtherSolid Fuel"	2011	"Service"	"Other"	"Solid Fuel"	0
"2011ServiceOverall totalSolid Fuel"	2011	"Service"	"Overall total"	"Solid Fuel"	27.05
"2011IndustrySpace heatingSolid Fuel"	2011	"Industry"	"Space heating"	"Solid Fuel"	96.69
"2011IndustryHigh temperature processSolid Fuel"	2011	"Industry"	"High temperature process"	"Solid Fuel"	964.02
"2011IndustryLow temperature processSolid Fuel"	2011	"Industry"	"Low temperature process"	"Solid Fuel"	239.21
"2011IndustryDrying/separationSolid Fuel"	2011	"Industry"	"Drying/separation"	"Solid Fuel"	134.07
"2011IndustryHeat totalSolid Fuel"	2011	"Industry"	"Heat total"	"Solid Fuel"	1433.98
"2011IndustryMotorsSolid Fuel"	2011	"Industry"	"Motors"	"Solid Fuel"	0
"2011IndustryCompressed airSolid Fuel"	2011	"Industry"	"Compressed air"	"Solid Fuel"	0
"2011IndustryLightingSolid Fuel"	2011	"Industry"	"Lighting"	"Solid Fuel"	0
"2011IndustryRefrigerationSolid Fuel"	2011	"Industry"	"Refrigeration"	"Solid Fuel"	0
"2011IndustryOtherSolid Fuel"	2011	"Industry"	"Other"	"Solid Fuel"	157.84
"2011IndustryOverall totalSolid Fuel"	2011	"Industry"	"Overall total"	"Solid Fuel"	1591.82
"2011TransportNon-heat purposesSolid Fuel"	2011	"Transport"	"Non-heat purposes"	"Solid Fuel"	11.07
