"Posistion"	"LA"	"Total_IP_Sites"	"Total_IP_Capacity"	"Total_AC_Sites"	"Total_AC_Capacity"	"Total_UC_Sites"	"Total_UC_Capacity"	"ACT_IP_Sites"	"ACT_IP_Capacity"	"ACT_AC_Sites"	"ACT_AC_Capacity"	"ACT_UC_Sites"	"ACT_UC_Capacity"	"AD_IP_Sites"	"AD_IP_Capacity"	"AD_AC_Sites"	"AD_AC_Capacity"	"AD_UC_Sites"	"AD_UC_Capacity"	"Bc_IP_Sites"	"Bc_IP_Capacity"	"Bc_AC_Sites"	"Bc_AC_Capacity"	"Bc_UC_Sites"	"Bc_UC_Capacity"	"Bd_IP_Sites"	"Bd_IP_Capacity"	"Bd_AC_Sites"	"Bd_AC_Capacity"	"Bd_UC_Sites"	"Bd_UC_Capacity"	"EfW_IP_Sites"	"EfW_IP_Capacity"	"EfW_AC_Sites"	"EfW_AC_Capacity"	"EfW_UC_Sites"	"EfW_UC_Capacity"	"LG_IP_Sites"	"LG_IP_Capacity"	"LG_AC_Sites"	"LG_AC_Capacity"	"LG_UC_Sites"	"LG_UC_Capacity"	"LH_IP_Sites"	"LH_IP_Capacity"	"LH_AC_Sites"	"LH_AC_Capacity"	"LH_UC_Sites"	"LH_UC_Capacity"	"SW_IP_Sites"	"SW_IP_Capacity"	"SW_AC_Sites"	"SW_AC_Capacity"	"SW_UC_Sites"	"SW_UC_Capacity"	"SH_IP_Sites"	"SH_IP_Capacity"	"SH_AC_Sites"	"SH_AC_Capacity"	"SH_UC_Sites"	"SH_UC_Capacity"	"SP_IP_Sites"	"SP_IP_Capacity"	"SP_AC_Sites"	"SP_AC_Capacity"	"SP_UC_Sites"	"SP_UC_Capacity"	"Tidal_IP_Sites"	"Tidal_IP_Capacity"	"Tidal_AC_Sites"	"Tidal_AC_Capacity"	"Tidal_UC_Sites"	"Tidal_UC_Capacity"	"Woff_IP_Sites"	"Woff_IP_Capacity"	"Woff_AC_Sites"	"Woff_AC_Capacity"	"Woff_UC_Sites"	"Woff_UC_Capacity"	"Won_IP_Sites"	"Won_IP_Capacity"	"Won_AC_Sites"	"Won_AC_Capacity"	"Won_UC_Sites"	"Won_UC_Capacity"
16	"Highland"	16	2632.08	34	2138.995	4	46.6	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	14	21.225	1	0.6	1	0.28	3	0.97	0	0	0	0	0	0	0	0	0	0	1	850	1	10	12	631.8	15	666.8	1	34
17	"Inverclyde"	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24
18	"Midlothian"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	"Moray"	3	434	7	174.8	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	434	4	102.8	0	0
20	"Na h-Eileanan an Iar/Western Isles"	5	77.8	6	396.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	77.8	6	396.7	0	0
21	"North Ayrshire"	0	0	6	52.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	24.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0
22	"North Lanarkshire"	2	15.5	9	116.2	1	25	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15.5	6	102.3	0	0
23	"Orkney Islands"	2	220	5	126.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	200	1	86	0	0	0	0	0	0	0	0	0	0	4	40.82	0	0
24	"Perth and Kinross"	1	8.6	7	80.56	0	0	0	0	1	4.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	22.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	53.7	0	0
25	"Renfrewshire"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	"Scottish Borders"	2	89	7	244.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	89	7	244.9	0	0
27	"Shetland Islands"	1	200	6	566.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.4	0	0	0	0	0	0	0	0	1	200	5	565.2	0	0
28	"South Ayrshire"	1	100	2	100	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	100	2	100	1	20
29	"South Lanarkshire"	7	193.6	14	453.9	1	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	193.6	14	453.9	1	1.6
30	"Stirling"	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	"West Dunbartonshire"	0	0	1	1.6	0	0	0	0	0	0	0	0	0	0	1	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	"West Lothian"	1	36	6	49.15	0	0	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36	3	26.9	0	0
33	"Offshore"	0	0	8	2356.9	4	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	43	0	0	0	0	5	2313.9	4	1000	0	0	0	0	0	0
