"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"Highland"	"Pumped Storage Hydroelectricity"	"Application Submitted"	1	499
"Aberdeenshire"	"Battery"	"Awaiting Construction"	1	10
"Aberdeenshire"	"Battery"	"Awaiting Construction"	1	25
"Fife"	"Battery"	"Awaiting Construction"	1	19.9
"North Ayrshire"	"Battery"	"Awaiting Construction"	1	19.9
"Renfrewshire"	"Battery"	"Awaiting Construction"	1	29.9
"Falkirk"	"Battery"	"Awaiting Construction"	1	0
"Aberdeenshire"	"Battery"	"Awaiting Construction"	1	0
"Inverclyde"	"Battery"	"Application Submitted"	1	1
"Argyll and Bute"	"Battery"	"Awaiting Construction"	1	29.9
"Renfrewshire"	"Battery"	"Awaiting Construction"	1	50
"Dumfries and Galloway"	"Battery"	"Application Submitted"	1	6
"South Ayrshire"	"Wind Onshore"	"Application Submitted"	1	100
"Perth and Kinross"	"Battery"	"Awaiting Construction"	1	45
"Highland"	"Battery"	"Awaiting Construction"	1	20
"North Ayrshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	19.9
"Aberdeenshire"	"Battery"	"Awaiting Construction"	1	20
"West Lothian"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.25
"East Ayrshire"	"Wind Onshore"	"Application Submitted"	1	36
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	1	1
"Shetland Islands"	"Wind Onshore"	"Awaiting Construction"	1	0.9
"Fife"	"Solar Photovoltaics"	"Under Construction"	1	0.23
"Highland"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.5
"Highland"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.27
"North Ayrshire"	"Small Hydro"	"Awaiting Construction"	1	1
"Perth and Kinross"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.42
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	1	2
"Argyll and Bute"	"Small Hydro"	"Awaiting Construction"	1	0.4
"Highland"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.2
"Argyll and Bute"	"Small Hydro"	"Awaiting Construction"	1	0.42
"Perth and Kinross"	"Battery"	"Awaiting Construction"	1	19
"Highland"	"Small Hydro"	"Under Construction"	1	0.6
"Highland"	"Small Hydro"	"Awaiting Construction"	1	0.45
"Dumfries and Galloway"	"Battery"	"Application Submitted"	1	20
"Argyll and Bute"	"Wind Onshore"	"Application Submitted"	1	114
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	62
"Argyll and Bute"	"Wind Onshore"	"Application Submitted"	1	65
"Perth and Kinross"	"Solar Photovoltaics"	"Awaiting Construction"	1	1.8
"North Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	4.2
"North Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	3
"Dumfries and Galloway"	"Battery"	"Awaiting Construction"	1	100
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	49
