"RenewableArea"	"ProjectName"	"SiteName"	"Country"	"Capacity"	"change in capacity Q1"	"change in capacity Q2"	"change in capacity Q3"	"change in capacity Q4"	"RESTATS Ref"	"ROC Ref"	"Survey"	"Capacity Q1"	"Capacity Q2"	"Capacity Q3"	"Capacity Q4"	"Operational Month (0=previous years)"	"CAPACITY END of last year"
"Small Hydro"	"Scottish & Southern Energy plc"	"Dalchonzie"	"Scotland"	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Foyers Falls"	"Scotland"	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Sron Mor"	"Scotland"	5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Hearthstanes Est"	"Hearthstanes Est"	"Scotland"	0.122	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Glenlyon Est"	"Glenlyon Est"	"Scotland"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Silverhills House"	"Silverhills House"	"Scotland"	0.278	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"West Cromwell Park"	"West Cromwell Park"	"Scotland"	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Lude Est"	"Lude Est"	"Scotland"	0.333	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Acharn Burn"	"Acharn Burn"	"Scotland"	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Lintrathen Water Works"	"Lintrathen Water Works"	"Scotland"	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Cauldron Linn"	"Cauldron Linn"	"Scotland"	0.436	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"New Lanark Mills"	"New Lanark Mills"	"Scotland"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Glenfinglass"	"Glenfinglass"	"Scotland"	1.278	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Blarghour"	"Blarghour"	"Scotland"	0.475	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Quoich"	"Scotland"	18.05	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish Power (Galloway)"	"Glenlee"	"Scotland"	24	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Shin"	"Scotland"	18.62	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Grudie Bridge"	"Scotland"	18.66	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Mossford"	"Scotland"	18.66	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Culligran"	"Scotland"	17.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Inverawe"	"Scotland"	25	0	0	0	0	0	0	0	0	0	0	0	0	0
