"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"North Ayrshire"	"Wind Onshore"	"Operational"	1	28
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	17.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	12.25
"Stirling"	"Wind Onshore"	"Operational"	1	37.5
"Highland"	"Wind Onshore"	"Operational"	1	47.5
"Highland"	"Wind Onshore"	"Operational"	1	38
"Highland"	"Wind Onshore"	"Operational"	1	3.9
"Scottish Borders"	"Wind Onshore"	"Operational"	1	6
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	26
"West Lothian"	"Wind Onshore"	"Operational"	1	14
"North Lanarkshire"	"Wind Onshore"	"Operational"	1	4
"South Ayrshire"	"Wind Onshore"	"Operational"	1	120
"South Ayrshire"	"Wind Onshore"	"Operational"	1	56
"Highland"	"Wind Onshore"	"Operational"	1	6.15
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	30
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	15
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	7.837
"Highland"	"Wind Onshore"	"Operational"	1	9
"Highland"	"Wind Onshore"	"Operational"	1	17
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	19.3
"Scottish Borders"	"Wind Onshore"	"Operational"	1	30
"Midlothian"	"Wind Onshore"	"Operational"	1	31.2
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	7.8
"South Lanarkshire"	"Wind Onshore"	"Operational"	0	0
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Operational"	1	3.9
"Orkney Islands"	"Wind Onshore"	"Operational"	1	5
"Orkney Islands"	"Wind Onshore"	"Operational"	1	2.3
"Highland"	"Wind Onshore"	"Operational"	1	4.9
"Shetland Islands"	"Wind Onshore"	"Operational"	1	3.68
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	26
"Orkney Islands"	"Wind Onshore"	"Operational"	1	1
"Fife"	"Wind Onshore"	"Operational"	1	1.5
"Highland"	"Wind Onshore"	"Operational"	1	5
"Perth and Kinross"	"Wind Onshore"	"Operational"	1	9.2
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.6
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.3
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.6
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.3
"Orkney Islands"	"Wind Onshore"	"Operational"	1	2.3
"Falkirk"	"Wind Onshore"	"Operational"	1	12
"Scottish Borders"	"Wind Onshore"	"Operational"	1	1
"Highland"	"Wind Onshore"	"Operational"	1	2.3
"Scottish Borders"	"Wind Onshore"	"Operational"	1	138
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	15
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	6
"Scottish Borders"	"Wind Onshore"	"Operational"	1	27.6
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	12.75
"Perth and Kinross"	"Wind Onshore"	"Operational"	1	27
"East Renfrewshire"	"Wind Onshore"	"Operational"	1	322
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.4
"Orkney Islands"	"Wind Onshore"	"Operational"	1	2.7
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.5
"Moray"	"Wind Onshore"	"Operational"	1	50.6
"Scottish Borders"	"Wind Onshore"	"Operational"	1	20.7
"Scottish Borders"	"Wind Onshore"	"Operational"	1	22
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	12
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	15.75
"Midlothian"	"Wind Onshore"	"Operational"	1	17.16
"Scottish Borders"	"Wind Onshore"	"Operational"	1	28.6
"Scottish Borders"	"Wind Onshore"	"Operational"	1	29.75
"Perth and Kinross"	"Wind Onshore"	"Operational"	1	9.6
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	33.302
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	7.8
"South Lanarkshire"	"Wind Onshore"	"Operational"	-1	0
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.6
"Highland"	"Wind Onshore"	"Operational"	1	10
"Scottish Borders"	"Wind Onshore"	"Operational"	1	38
"Highland"	"Wind Onshore"	"Operational"	1	23.8
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	36.8
"Highland"	"Wind Onshore"	"Operational"	1	66
"Stirling"	"Wind Onshore"	"Operational"	1	2.4
"Highland"	"Wind Onshore"	"Operational"	1	70
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	12.5
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	2.2
"Highland"	"Wind Onshore"	"Operational"	1	2.6
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Operational"	1	6.9
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	15
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.4
"Fife"	"Wind Onshore"	"Operational"	1	12.5
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	28
"North Ayrshire"	"Wind Onshore"	"Operational"	1	18
"Moray"	"Wind Onshore"	"Operational"	1	4.6
"Orkney Islands"	"Wind Onshore"	"Operational"	1	1.8
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.6
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	6.9
"East Renfrewshire"	"Wind Onshore"	"Operational"	1	12
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.4
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	1
"Shetland Islands"	"Wind Onshore"	"Operational"	1	4.5
"Highland"	"Wind Onshore"	"Operational"	1	10
"North Lanarkshire"	"Wind Onshore"	"Operational"	1	2.5
"Highland"	"Wind Onshore"	"Operational"	1	10
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	10.8
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	20.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	1.7
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	6.9
"Highland"	"Wind Onshore"	"Operational"	1	85
"North Lanarkshire"	"Wind Onshore"	"Operational"	1	9
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	9.2
"Moray"	"Wind Onshore"	"Operational"	1	1.6
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.4
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.6
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	9
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	7.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	1.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.6
"Orkney Islands"	"Wind Onshore"	"Operational"	1	10
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	3.2
"North Ayrshire"	"Wind Onshore"	"Operational"	1	7.5
"Fife"	"Wind Onshore"	"Operational"	1	1.5
"Highland"	"Wind Onshore"	"Operational"	1	29.9
"East Renfrewshire"	"Wind Onshore"	"Operational"	1	4.2665
"East Renfrewshire"	"Wind Onshore"	"Operational"	1	9.2
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	6.8
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	22.5
"Orkney Islands"	"Wind Onshore"	"Operational"	1	1.8
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	9.6
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	2.4
"East Renfrewshire"	"Wind Onshore"	"Operational"	1	7.1665
"Moray"	"Wind Onshore"	"Operational"	1	41.4
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	6.9
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.4
"East Ayrshire"	"Wind Onshore"	"Operational"	1	108
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Operational"	1	2.7
"Highland"	"Wind Onshore"	"Operational"	1	50
"Orkney Islands"	"Wind Onshore"	"Operational"	1	2.7
"Perth and Kinross"	"Wind Onshore"	"Operational"	1	36.8
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	350
"Highland"	"Wind Onshore"	"Operational"	1	36.8
"Moray"	"Wind Onshore"	"Operational"	1	48
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	13.8
"Highland"	"Wind Onshore"	"Operational"	1	52.5
"Scottish Borders"	"Wind Onshore"	"Operational"	1	28.6
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	5.95
"Perth and Kinross"	"Wind Onshore"	"Operational"	1	32.2
"Perth and Kinross"	"Wind Onshore"	"Operational"	1	156
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	15.75
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	53
"Fife"	"Wind Onshore"	"Operational"	1	25
"Highland"	"Wind Onshore"	"Operational"	1	24.7
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	14.3
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2
"Scottish Borders"	"Wind Onshore"	"Operational"	1	144
"Glasgow City"	"Wind Onshore"	"Operational"	1	3
"Angus"	"Wind Onshore"	"Operational"	1	6.4
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Operational"	1	13.8
"Moray"	"Wind Onshore"	"Operational"	1	18
"Shetland Islands"	"Wind Onshore"	"Operational"	1	3
"Fife"	"Wind Onshore"	"Operational"	1	6.9
"North Lanarkshire"	"Wind Onshore"	"Operational"	1	5.7
"Fife"	"Wind Onshore"	"Operational"	1	2
"Fife"	"Wind Onshore"	"Operational"	1	1.5
"Fife"	"Wind Onshore"	"Operational"	1	6.4
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	10
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	36
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	18.4
"Highland"	"Wind Onshore"	"Operational"	1	94
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	136
"Highland"	"Wind Onshore"	"Operational"	1	54.4
"Highland"	"Wind Onshore"	"Operational"	1	29.9
"Highland"	"Wind Onshore"	"Operational"	1	22.5
"Highland"	"Wind Onshore"	"Operational"	1	51
"Falkirk"	"Wind Onshore"	"Operational"	1	26
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	1.6
"East Ayrshire"	"Wind Onshore"	"Operational"	1	29.75
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	6.9
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	172.8
"Scottish Borders"	"Wind Onshore"	"Operational"	1	29.9
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	6.9
"West Lothian"	"Wind Onshore"	"Operational"	1	19.2
"Scottish Borders"	"Wind Onshore"	"Operational"	1	13.8
"West Lothian"	"Wind Onshore"	"Operational"	1	8.5
"Clackmannanshire"	"Wind Onshore"	"Operational"	1	12
"West Lothian"	"Wind Onshore"	"Operational"	1	51.7
"North Ayrshire"	"Wind Onshore"	"Operational"	1	6.4
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	7.5
"Moray"	"Wind Onshore"	"Operational"	1	177
"Stirling"	"Wind Onshore"	"Operational"	1	22.5
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	48.43
