Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"19/11/2019 00:00:00","19/11/2019","System Entry Energy, STFergus-Mobil, D+1","178474432.0000","20/11/2019 12:02:13","L"
"19/11/2019 00:00:00","19/11/2019","System Entry Energy, STFergus-Shell, D+1","104149193.0000","20/11/2019 12:02:13","L"
"18/11/2019 00:00:00","18/11/2019","NTS System Input Physical, Actual (Energy), D+1","3612486034.0000","19/11/2019 14:02:13","A"
"18/11/2019 00:00:00","18/11/2019","System Entry Energy, STFergus-NSMP, D+1","333682569.0000","19/11/2019 14:02:13","A"
"18/11/2019 00:00:00","18/11/2019","System Entry Energy, STFergus-Mobil, D+1","195531712.0000","19/11/2019 12:02:14","L"
"18/11/2019 00:00:00","18/11/2019","System Entry Energy, STFergus-Shell, D+1","112961918.0000","19/11/2019 12:02:14","L"
"17/11/2019 00:00:00","17/11/2019","NTS System Input Physical, Actual (Energy), D+1","3143989661.0000","18/11/2019 14:02:15","A"
"17/11/2019 00:00:00","17/11/2019","System Entry Energy, STFergus-Shell, D+1","84507917.0000","18/11/2019 14:02:15","A"
"17/11/2019 00:00:00","17/11/2019","System Entry Energy, STFergus-Mobil, D+1","214866496.0000","18/11/2019 12:02:16","L"
"17/11/2019 00:00:00","17/11/2019","System Entry Energy, STFergus-NSMP, D+1","490924253.0000","18/11/2019 12:02:16","L"
"16/11/2019 00:00:00","16/11/2019","NTS System Input Physical, Actual (Energy), D+1","3236659680.0000","17/11/2019 12:02:14","L"
"16/11/2019 00:00:00","16/11/2019","System Entry Energy, STFergus-Mobil, D+1","216274144.0000","17/11/2019 12:02:14","L"
"16/11/2019 00:00:00","16/11/2019","System Entry Energy, STFergus-NSMP, D+1","492240000.0000","17/11/2019 12:02:14","L"
"16/11/2019 00:00:00","16/11/2019","System Entry Energy, STFergus-Shell, D+1","71082500.0000","17/11/2019 12:02:14","L"
"15/11/2019 00:00:00","15/11/2019","NTS System Input Physical, Actual (Energy), D+1","3406047400.0000","16/11/2019 12:02:15","L"
