Generator type,Fuel,Year,Country,value
Other generators,Wind,2012,Scotland,976.8924
Other generators,Solar,2012,Scotland,69.9466
Other generators,Shoreline wave and tidal,2012,Scotland,0.7362
Other generators,Bioenergy,2012,Scotland,873.5953
Other generators,Other fuels,2012,Scotland,68.7994
Other generators,Total other generators,2012,Scotland,5344.5747
All generating companies,Fossil fuels,2012,Scotland,17937.2806
All generating companies,Coal,2012,Scotland,11685.6283
All generating companies,Oil,2012,Scotland,639.058
All generating companies,Gas,2012,Scotland,5612.5944
All generating companies,Nuclear,2012,Scotland,17050.0209
All generating companies,Renewables,2012,Scotland,14667.2041
All generating companies,Hydro natural flow,2012,Scotland,4846.5775
All generating companies,Wind,2012,Scotland,8291.6825
All generating companies,Solar,2012,Scotland,69.9466
All generating companies,Shoreline wave and tidal,2012,Scotland,0.7362
All generating companies,Bioenergy,2012,Scotland,1458.2613
All generating companies,Other fuels,2012,Scotland,68.7994
All generating companies,Pumped storage,2012,Scotland,609.7378
All generating companies,Total all generating companies,2012,Scotland,50333.0429
Major power producers,Coal,2012,Wales,10374.7276
Major power producers,Oil,2012,Wales,413.2403
Major power producers,Gas,2012,Wales,14747.756
Major power producers,Nuclear,2012,Wales,4141.0733
Major power producers,Hydro natural flow,2012,Wales,286.694
Major power producers,Wind,2012,Wales,1149.3233
Major power producers,Solar,2012,Wales,NA
Major power producers,Bioenergy,2012,Wales,0
Major power producers,Other fuels,2012,Wales,NA
Major power producers,Hydro pumped storage,2012,Wales,2356.7222
Major power producers,Total major power producers,2012,Wales,33469.5367
Other generators,Coal,2012,Wales,0
Other generators,Oil,2012,Wales,55.0238
Other generators,Gas,2012,Wales,908.9184
Other generators,Hydro natural flow,2012,Wales,61.1656
Other generators,Wind,2012,Wales,297.1964
Other generators,Solar,2012,Wales,86.9308
Other generators,Shoreline wave and tidal,2012,Wales,0
Other generators,Bioenergy,2012,Wales,608.9133
Other generators,Other fuels,2012,Wales,456.0726
Other generators,Total other generators,2012,Wales,2474.2208
All generating companies,Fossil fuels,2012,Wales,26499.6661
All generating companies,Coal,2012,Wales,10374.7276
All generating companies,Oil,2012,Wales,468.264
All generating companies,Gas,2012,Wales,15656.6744
All generating companies,Nuclear,2012,Wales,4141.0733
All generating companies,Renewables,2012,Wales,2490.2234
All generating companies,Hydro natural flow,2012,Wales,347.8597
