"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2017"	"S12000010"	"East Lothian"	241.549664	0	0.111235	6.183671	0	33.307	281.15157
"2017"	"S12000011"	"East Renfrewshire"	621.025796	0	0	1.586918	0	0	622.612714
"2017"	"S12000036"	"Edinburgh City of"	0.280482	0	0.914488	7.313522	0	24.833386	33.341878
"2017"	"S12000013"	"Eilean Siar"	143.71244	0	7.179439	1.057913	0	0.1935	152.143293
"2017"	"S12000014"	"Falkirk"	106.873328	0	2.842228	4.15421	0	36.429	150.298765
"2017"	"S12000047"	"Fife"	234.717767	10.894595	2.870157	28.422431	0	551.197992	828.102942
"2017"	"S12000049"	"Glasgow City"	8.148647	0	0	8.817575	0	41.831095	58.797317
"2017"	"S12000017"	"Highland"	3282.330736	0	3102.255992	14.930933	2.892	169.998584	6572.408246
"2017"	"S12000018"	"Inverclyde"	6.832194	0	0.281662	1.580105	0	0	8.69396
"2017"	"S12000019"	"Midlothian"	83.492116	0	1.441233	3.455987	0	17.520456	105.909791
"2017"	"S12000020"	"Moray"	888.2338	0	0.457207	7.134108	0	149.643428	1045.468543
"2017"	"S12000021"	"North Ayrshire"	369.567079	0	11.01444	9.287357	0	199.378588	589.247464
"2017"	"S12000050"	"North Lanarkshire"	63.172904	0	0.483916	7.762891	0	144.819368	216.239078
"2017"	"S12000023"	"Orkney Islands"	189.196865	0	0.040237	1.226127	1.251	0	191.714229
"2017"	"S12000048"	"Perth & Kinross"	572.579894	0	773.256086	23.801992	0	21.618659	1391.256631
"2017"	"S12000038"	"Renfrewshire"	0.037476	0	0	5.152925	0	0.507168	5.697569
"2017"	"S12000026"	"Scottish Borders"	1574.423273	0	2.203465	13.106907	0	12.55255	1602.286195
"2017"	"S12000027"	"Shetland Islands"	43.342272	0	0.067672	0.185266	0.0506	0	43.64581
"2017"	"S12000028"	"South Ayrshire"	1084.163104	0	2.653834	3.989833	0	63.744005	1154.550776
"2017"	"S12000029"	"South Lanarkshire"	2319.714371	0	89.920742	10.767266	0	40.306565	2460.708943
"2017"	"S12000030"	"Stirling"	432.79433	0	316.40553	9.407783	0	8.379181	766.986824
"2017"	"S12000039"	"West Dunbartonshire"	0	0	2.560192	2.809932	0	26.13	31.500124
"2017"	"S12000040"	"West Lothian"	239.201872	0	0	6.866867	0	2.59	248.658739
"2018"	"S12000033"	"Aberdeen City"	3.874326	0	2.411527	7.375902	0	11.835175	25.49693
"2018"	"S12000034"	"Aberdeenshire"	1242.933531	290.45	1.901566	37.287221	0	53.22702	1625.799339
"2018"	"S12000041"	"Angus"	51.493877	0	6.428241	31.915213	0	23.412021	113.249352
"2018"	"S12000035"	"Argyll & Bute"	868.928384	0	550.792981	6.410363	0	0.38042	1426.512148
"2018"	"S12000005"	"Clackmannanshire"	131.303418	0	0.204374	7.273295	0	0	138.781087
"2018"	"S12000006"	"Dumfries & Galloway"	1401.516695	545.208167	386.207727	13.913496	0	331.121013	2677.967097
"2018"	"S12000042"	"Dundee City"	0.084922	0	0.9	4.003152	0	0.192409	5.180483
"2018"	"S12000008"	"East Ayrshire"	684.453534	0	1.748419	4.895494	0	20.965347	712.062794
"2018"	"S12000045"	"East Dunbartonshire"	0.029657	0	0	2.657314	0	5.507762	8.194734
