LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Rail,Coal - Public Sector,Coal - Agriculture,Coal - Total,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Manufactured fuels - Total,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Road transport,Petroleum products - Rail,Petroleum products - Public Sector,Petroleum products - Agriculture,Petroleum products - Total,Gas - Industrial,Gas - Commercial,Gas - Domestic,Gas - Total,Electricity - Industrial & Commercial,Electricity - Domestic,Electricity - Total,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic,Bioenergy & wastes - Total,All fuels - Total,Consuming Sector - Industry & Commercial,Consuming Sector - Domestic,Consuming Sector - Transport
S12000019,2005,Midlothian,1.859834012,0.102787254,11.5063409,0,1.743700414,0.042172357,15.25483493,0.098394266,6.764594547,6.862988813,104.9159281,2.045066348,39.26849145,499.1054751,1.049493817,0.914273854,22.34687905,669.6456077,103.1096007,97.28692925,607.21393,807.61046,164.15745,148.48021,312.63766,0,0,8.915677789,8.915677789,1820.927229,498.6230156,822.1492447,500.154969
S12000018,2005,Inverclyde,0.00291078,0.024242037,1.503160846,0,0,0.006618982,1.536932645,0.038810962,1.571533441,1.610344403,22.45519257,0.495011563,6.045036155,441.4394027,0.49910937,2.009179692,7.621181775,480.5641138,138.1396978,130.3388522,601.81761,870.29616,221.6678,198.84974,420.51754,0,0,5.355783368,5.355783368,1779.880874,522.7994984,815.1428638,441.9385121
S12000017,2005,Highland,23.78915381,1.914215392,136.1837566,0.775262953,22.85856947,0.974881156,186.4958394,4.037957876,70.52894006,74.56689794,1009.651235,24.5139039,803.0432383,1919.566834,30.97591389,76.22375917,305.872909,4169.847794,316.8925267,298.9973833,731.89916,1347.78907,1036.02366,766.42863,1802.45229,156.8753847,39.42994147,47.4309471,243.7362732,7824.888164,3318.055481,2555.514672,1951.318011
S12000014,2005,Falkirk,0.42263527,0.045969401,11.70064791,0.114475346,0.956625034,0.017020238,13.2573732,583.3265078,7.54078483,590.8672926,20098.50438,5.25323333,29.77071129,1212.15145,40.31176606,7.972219602,23.33749138,21417.30125,482.2472709,455.0144291,1137.43726,2074.69896,474.98083,339.20058,814.18141,0,0,13.09968896,13.09968896,24923.40598,22132.07861,1538.749673,1252.577692
S12000013,2005,Na h-Eileanan Siar,9.565571435,0.169066682,26.66039208,0,3.941169097,0.109685949,40.44588524,0,13.42058447,13.42058447,175.4630062,2.6536801,174.7939569,154.2415237,5.442119115,7.497378704,35.91445759,556.0061223,0,0,0,0,60.17362,96.28477,156.45839,0,0,6.929141672,6.929141672,773.2601237,295.4876357,318.0888451,159.6836428
S12000011,2005,East Renfrewshire,0.242913682,0.002367868,1.949178696,0,0,0.016642007,2.211102252,0.05099876,2.151879652,2.202878412,25.48802825,0.43234475,11.54504085,694.8354767,15.18355558,0.990655263,15.3672659,763.8423673,77.11528204,72.76052796,818.68222,968.55803,97.99438,193.84884,291.84322,0,0,7.63982784,7.63982784,2036.297426,290.4614065,1035.816987,710.0190323
S12000010,2005,East Lothian,293.7598253,0.126932251,14.59585346,0,1.314869576,0.241309091,310.0387897,224.5030399,8.615486613,233.1185265,104.0909683,3.977120462,67.8803992,710.2626253,1.954522134,4.296268852,38.40161929,930.8635236,112.2949781,105.9536019,662.10753,880.35611,288.37748,210.93331,499.31079,253.6995558,63.76627319,11.5201848,328.9860139,3182.673754,1494.803842,975.6527641,712.2171475
S12000008,2005,East Ayrshire,3.892607497,0.106592369,8.278567432,0,2.117853296,0.210483555,14.60610415,0.122226636,5.614838978,5.737065614,152.75814,2.000980961,49.91906896,915.4918711,24.12976846,5.477521009,96.98134444,1246.758695,249.4233868,235.3382732,990.14331,1474.90497,282.9579,225.30799,508.26589,124.8493505,31.38033791,10.97150257,167.2011909,3417.473916,1187.616998,1290.235278,939.6216396
S12000006,2005,Dumfries and Galloway,16.96077895,0.492075872,41.08646101,0,7.444951245,1.071140026,67.0554071,0.471525243,23.29461713,23.76614237,393.7971704,8.374460422,349.7486896,1923.725887,47.25664213,11.06363983,501.596017,3235.562507,302.9020301,285.7969399,765.50986,1354.20883,578.15056,403.87501,982.02557,63.78257479,16.03147106,26.59457855,106.4086244,5769.027081,2187.935335,1610.109216,1970.98253
S12000005,2005,Clackmannanshire,0.138679097,0.012659255,3.303629511,0,0.732385143,0.013237964,4.20059097,0,2.359492516,2.359492516,51.19156944,0.664999062,11.92543761,225.0729568,48.92248924,0.410266881,10.00491472,348.1926337,246.6228939,232.6959261,397.12961,876.44843,227.82007,103.70471,331.52478,0,0,5.102419293,5.102419293,1567.828347,770.3076016,523.5252989,273.995446
K03000001,2005,GREAT BRITAIN (inc Unallocated),15929.70623,56.63865327,4933.104734,33.40983521,1145.820542,64.47461055,22163.1546,44469.04914,3681.722798,48150.77194,164484.7659,1963.917761,27563.63286,438017.5433,7237.20602,1965.27462,14329.51474,655561.8552,132157.4082,124694.3866,410739.2802,667591.075,200890.584,119425.5625,320316.1465,6955.475966,1748.228447,8426.495849,17130.20027,1730913.204,710855.2454,574769.799,445288.1591
K02000001,2005,UNITED KINGDOM (inc Unallocated),17519.81417,62.42865585,5482.862354,33.42797612,1359.559191,70.0012026,24528.09355,44720.03484,4038.313087,48758.34793,173808.9987,2139.880316,36053.34503,452197.3242,7354.180618,2312.563446,16152.60999,690018.9024,132157.4082,124694.3866,410739.2802,667591.075,200890.584,119425.5625,320316.1465,7190.723404,1807.356861,9055.909461,18053.98973,1769266.555,724886.3496,584795.2727,459584.9328
S92000003,2006,SCOTLAND,1752.17268,10.72349913,546.5870213,5.328400172,100.4175229,5.202095139,2420.431218,935.805221,353.9186596,1289.723881,28388.86352,132.9367327,4499.262145,37983.69016,596.383102,273.8197392,2765.585348,74640.54074,12589.64575,11878.69962,34342.56427,58810.90964,17310.84795,12116.62246,29427.47041,770.36759,193.6285227,573.6713163,1537.667429,168126.7433,77108.71579,52432.62587,38585.40166
S12000050,2006,North Lanarkshire,1.187698457,0.043055435,10.55164044,0,0.097965782,0.007579085,11.8879392,67.3848916,9.003522331,76.38841393,315.6645559,3.979881866,42.3091456,2659.183436,28.03604177,5.995962184,25.62133549,3080.790358,675.9839335,637.8106465,2443.97472,3757.78093,1039.4894,643.69724,1683.17501,38.04524227,9.562505162,25.99378937,73.6015368,8683.624188,2820.874653,3175.530058,2687.219477
S12000049,2006,Glasgow City,0,5.80E-04,5.935061956,0,0,0,5.935642293,2.340722022,6.730952621,9.071674643,356.1366046,4.994834978,14.96609099,3184.846551,18.37743487,4.561445785,3.765670245,3587.648632,1499.999049,1415.293051,3639.89925,6555.17972,2111.71725,1293.34904,3405.06629,0,0,26.0730366,26.0730366,13588.975,5398.809208,4986.953432,3203.223986
S12000048,2006,Perth and Kinross,16.79989279,0.813929935,20.11546919,0,5.375426077,0.575378945,43.68009693,0.381062521,13.42207295,13.80313547,160.8645439,6.605001942,287.3209438,2114.847256,32.28595787,4.617411787,157.1310038,2763.67212,215.9969908,203.7994892,807.49416,1227.29064,431.0078,414.10941,845.12884,0,0,23.8413133,23.8413133,4917.416145,1203.967932,1566.303369,2147.133214
S12000047,2006,Fife,855.2071355,0.227518167,21.68660214,0,11.21485229,0.321374302,888.6574824,18.01811169,16.54328187,34.56139356,5220.525612,11.37180462,134.796499,2220.683281,32.8291963,5.36652401,86.4676631,7712.04058,1713.746071,1616.969629,2877.1457,6207.8614,1136.34404,728.08452,1864.42856,0.623241858,0.156649114,39.94663754,40.72652851,16748.27594,10676.56023,3818.203241,2253.512478
S12000045,2006,East Dunbartonshire,0.012914685,0.01207786,2.484710667,0,0.062078079,0.003052689,2.57483398,0.496797803,2.674409923,3.171207726,51.09682943,0.766332078,10.97382867,486.48371,52.34351424,0.422948198,8.645442783,610.7326054,84.48751976,79.71645024,955.77666,1119.98063,217.44611,213.02671,430.47282,0,0,9.929440431,9.929440431,2176.861538,443.1685536,1194.86576,538.8272243
S12000042,2006,Dundee City,0.00281974,3.02E-04,3.101393302,0,0.003879884,0,3.108395306,1.999455872,3.611563313,5.611019185,221.9194423,0.68091788,6.421457236,755.4236205,3.704057227,0.874923051,1.078794648,990.1032128,382.9434682,361.3183818,907.0237,1651.28555,502.2997,389.7213,892.021,0,0,14.27236037,14.27236037,3556.401538,1473.122086,1324.151774,759.1276777
S12000041,2006,Angus,18.64582004,0.222914838,13.30966129,0.025480667,1.479300936,0.488745784,34.17192355,0,9.065127069,9.065127069,216.496687,3.166085304,174.2918014,886.1365002,10.43327473,0.974534315,81.52878137,1373.027664,163.032968,153.826382,692.1013,1008.96065,324.13973,296.29751,620.42561,0,0,17.04086033,17.04086033,3062.691835,964.0019496,1202.10626,896.5952556
S12000040,2006,West Lothian,1.837616049,0.087347162,10.37700287,0,0.702014933,0.024105699,13.02808672,12.83389531,7.724010711,20.55790603,303.4481647,3.545352828,37.5431449,1450.389425,20.51004967,1.813925843,27.86195861,1845.112022,377.9229264,356.5813536,1263.1343,1997.65021,641.67362,316.6849,958.37015,0,0,17.79565662,17.79565662,4852.514031,1728.332281,1653.259015,1470.899475
S12000039,2006,West Dunbartonshire,0,0.011491731,1.61937404,0,0.193994017,0.002947426,1.827807214,0.177351801,1.640553909,1.817905711,81.43735645,1.084293894,10.01421889,543.3626074,0.368056703,0.451505803,7.468937027,644.1869762,152.770478,144.143422,643.23204,940.14594,279.31771,185.32405,464.64176,0,0,5.767383047,5.767383047,2058.387772,667.0594882,847.5976199,543.7306641
S12000038,2006,Renfrewshire,0.004934539,0.069284318,3.365098597,0,0,0.00589484,3.445212294,1.036365094,3.613310349,4.649675442,165.6689849,1.056804667,14.44899938,1286.317676,26.40224917,1.217205174,17.67387352,1512.785793,380.2746224,358.8002476,1261.63403,2000.72053,589.58285,367.43822,957.02107,0,0,13.38786619,13.38786619,4492.010147,1515.391067,1663.887525,1312.719925
S12000036,2006,City of Edinburgh,0.281865424,0.50402408,7.904346771,0,0.922100239,0.007789611,9.620126125,0.369772256,8.505810212,8.875582469,255.0443407,4.846138276,23.68797721,2822.309188,29.68814388,10.93162789,10.07969532,3156.587111,1122.004315,1058.643945,3317.99248,5498.64074,1781.5997,1016.10147,2797.70117,0,0,31.57368822,31.57368822,11502.99842,4245.235314,4405.765772,2851.997332
S12000035,2006,Argyll and Bute,7.28438928,0.873684212,33.43834439,0,6.102085003,0.215056564,47.91355945,0.244645493,19.49915967,19.74380516,326.5377048,6.011247376,186.7036183,681.8911177,5.115338363,68.12051392,113.0139042,1387.393445,89.16697584,84.13165416,400.00222,573.30085,237.53112,318.39451,555.92563,0,0,20.30570164,20.30570164,2604.582991,939.2329809,978.343554,687.0064561
S12000034,2006,Aberdeenshire,34.22970273,0.853601086,50.39783516,0,9.832433601,0.862647353,96.17621993,19.19344537,31.79850791,50.99195328,608.6286512,12.79571933,811.5503535,2183.736666,18.2102821,8.024677589,343.7154696,3986.661819,209.0675661,197.2613739,1167.94275,1574.27169,698.60247,645.70923,1344.3117,0,0,47.16163699,47.16163699,7099.575019,2143.067758,2754.560314,2201.946948
S12000033,2006,Aberdeen City,1.529556038,0.56847597,4.680004319,0,10.42110144,0.018210859,17.21734862,15.93353368,4.801362904,20.73489659,632.6826843,2.108183358,27.62900138,1179.560662,6.324704777,47.23796911,11.10009187,1906.643297,541.8475044,511.2489956,1648.01752,2701.11402,851.29274,504.61407,1355.90681,0,0,17.08108011,17.08108011,6018.697452,2625.989047,2206.823039,1185.885367
S12000030,2006,Stirling,1.187158197,0.362786929,8.235175193,0,2.146360008,0.075264534,12.00674486,0.045573481,5.489409997,5.534983478,103.0489359,5.456841101,90.56373764,1031.017147,20.20239874,3.320614603,61.61527122,1315.224947,447.911313,422.617447,598.1309,1468.67129,367.82201,215.94584,583.76785,103.1954329,25.93772048,9.722579133,138.8557326,3524.061547,1544.742729,928.087642,1051.219546
S12000029,2006,South Lanarkshire,5.669527378,0.212872996,23.40361785,0,1.697871143,0.127054959,31.11094432,9.485392366,15.85597989,25.34137225,389.2234204,3.913660646,166.8482726,2501.062611,10.48158182,4.187474331,119.1041033,3194.821125,447.5283397,422.2561003,2241.38012,3111.16456,902.69734,704.02205,1606.73102,0,0,29.38681351,29.38681351,7998.555835,2306.103158,3180.896854,2511.544193
S12000028,2006,South Ayrshire,52.72516317,0.271316619,9.935560347,0,0.862601647,0.107580919,63.9022227,3.96935703,6.626003361,10.59536039,197.8041329,3.267820486,90.51645879,804.1654568,53.68298757,1.202433178,99.45684206,1250.096132,290.2698922,273.8781478,871.05211,1435.18852,339.17732,243.55546,582.73278,0,0,11.75171984,11.75171984,3354.266735,1262.992608,1233.437312,857.8484443
S12000027,2006,Shetland Islands,4.22364077,0.385396766,8.642796807,0,2.848833023,0.144423689,16.24509106,0,5.075322568,5.075322568,194.9721012,5.170871392,89.55689762,145.662225,0,4.757260164,63.25623505,503.3755904,0,0,0,0,101.26241,105.92604,207.18845,0,0,5.491524355,5.491524355,737.3759784,377.0211721,214.6925814,145.662225
S12000026,2006,Scottish Borders,27.93070539,0.27005702,36.34867876,0,2.312403844,0.340637804,67.20248282,0.549933133,21.23075883,21.78069196,196.2800956,5.218167543,275.594755,913.7595157,0.80528432,2.389105485,269.0129023,1663.059826,194.41285,183.43422,607.34186,985.18893,328.45446,293.62261,622.07707,0,0,22.30990069,22.30990069,3381.618901,1210.605538,1256.448563,914.5648
S12000023,2006,Orkney Islands,2.466624727,0.337933724,15.50423384,0,4.445859448,0.178845372,22.93349711,0,8.644974141,8.644974141,84.4861176,4.343406172,108.794608,95.87372511,0,7.472749492,117.116089,418.0866954,0,0,0,0,59.72005,84.18957,143.90962,0,0,6.693169205,6.693169205,600.2679558,280.5676755,223.8265552,95.87372511
S12000021,2006,North Ayrshire,261.7387094,0.20126464,5.222770406,0,0.68364515,0.025789944,267.8721795,2.120859267,4.629025296,6.749884563,164.2734203,1.713733021,52.71099628,630.7567494,6.788642875,1.249884939,44.30160088,901.7950277,935.4663557,882.6399143,1005.44839,2823.55466,603.17832,296.03002,899.20834,64.11934939,16.11611789,14.05170675,94.28717403,4993.467266,2977.828965,1378.092909,637.5453923
S12000020,2006,Moray,31.35459991,0.225074855,19.10828116,1.121149492,2.497360304,0.165055647,54.47152137,0,11.51350594,11.51350594,263.6706839,2.148789061,193.3919351,551.3342659,5.490304996,5.753401472,89.54869759,1111.338078,700.3326634,660.7843866,530.15355,1891.2706,332.10628,213.15464,545.26092,0,0,14.15114586,14.15114586,3628.005771,2088.586993,981.4730581,557.9457204
