GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2011,Count,GWh,Petroleum products,Public Sector,0.1428606754
S12000005,2011,Count,GWh,Petroleum products,Rail,48.650989625
S12000005,2011,Count,GWh,Petroleum products,Road transport,235.10070819
S12000005,2011,Count,GWh,Petroleum products,All,323.54261025
S12000005,2012,Count,GWh,All,All,1697.2681798
S12000005,2012,Count,GWh,Bioenergy & wastes,Domestic,9.9506763227
S12000005,2012,Count,GWh,Bioenergy & wastes,All,9.9511208329
S12000005,2012,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,4.44266e-4
S12000005,2012,Count,GWh,Coal,Agriculture,0.0024197727
S12000005,2012,Count,GWh,Coal,Domestic,3.5645237197
S12000005,2012,Count,GWh,Coal,Industrial & Commercial,0.1858941294
S12000005,2012,Count,GWh,Coal,Public Sector,0.6160603942
S12000005,2012,Count,GWh,Coal,Rail,0
S12000005,2012,Count,GWh,Coal,All,4.3688980159
S12000005,2012,Count,GWh,Electricity,Domestic,92.52925548
S12000005,2012,Count,GWh,Electricity,Industrial & Commercial,128.42983097
S12000005,2012,Count,GWh,Electricity,All,220.95908644
S12000005,2012,Count,GWh,Gas,Domestic,320.25518013
S12000005,2012,Count,GWh,Gas,Industrial & Commercial,807.65349997
S12000005,2012,Count,GWh,Gas,All,1127.9086801
S12000005,2012,Count,GWh,Manufactured fuels,Domestic,1.7722726145
S12000005,2012,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2012,Count,GWh,Manufactured fuels,All,1.7722726145
S12000005,2012,Count,GWh,Petroleum products,Agriculture,9.4563210291
S12000005,2012,Count,GWh,Petroleum products,Domestic,10.106607816
S12000005,2012,Count,GWh,Petroleum products,Industrial & Commercial,34.5338294709
S12000005,2012,Count,GWh,Petroleum products,Public Sector,0.0559727244
S12000005,2012,Count,GWh,Petroleum products,Rail,49.213652107
S12000005,2012,Count,GWh,Petroleum products,Road transport,228.94173861
S12000005,2012,Count,GWh,Petroleum products,All,332.30812176
S12000005,2013,Count,GWh,All,All,1665.3492581
S12000005,2013,Count,GWh,Bioenergy & wastes,Domestic,11.714424159
S12000005,2013,Count,GWh,Bioenergy & wastes,All,11.714854318
S12000005,2013,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,4.3031e-4
S12000005,2013,Count,GWh,Coal,Agriculture,0
S12000005,2013,Count,GWh,Coal,Domestic,3.4138831093
S12000005,2013,Count,GWh,Coal,Industrial & Commercial,0.0233816731
S12000005,2013,Count,GWh,Coal,Public Sector,0.6866074276
S12000005,2013,Count,GWh,Coal,Rail,0
S12000005,2013,Count,GWh,Coal,All,4.1238722099
S12000005,2013,Count,GWh,Electricity,Domestic,90.437875534
S12000005,2013,Count,GWh,Electricity,Industrial & Commercial,130.34540425
S12000005,2013,Count,GWh,Electricity,All,220.78327979
S12000005,2013,Count,GWh,Gas,Domestic,308.85525115
S12000005,2013,Count,GWh,Gas,Industrial & Commercial,810.83779513
S12000005,2013,Count,GWh,Gas,All,1119.6930463
S12000005,2013,Count,GWh,Manufactured fuels,Domestic,1.9485941024
S12000005,2013,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2013,Count,GWh,Manufactured fuels,All,1.9485941024
S12000005,2013,Count,GWh,Petroleum products,Agriculture,9.3436887125
S12000005,2013,Count,GWh,Petroleum products,Domestic,10.36838438
S12000005,2013,Count,GWh,Petroleum products,Industrial & Commercial,17.2527755805
S12000005,2013,Count,GWh,Petroleum products,Public Sector,0.0213926639
S12000005,2013,Count,GWh,Petroleum products,Rail,48.330485166
S12000005,2013,Count,GWh,Petroleum products,Road transport,221.76888494
S12000005,2013,Count,GWh,Petroleum products,All,307.08561144
S12000005,2014,Count,GWh,All,All,1622.4316289
S12000005,2014,Count,GWh,Bioenergy & wastes,Domestic,11.127329791
S12000005,2014,Count,GWh,Bioenergy & wastes,All,11.127770882
S12000005,2014,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,4.4077699999999994e-4
S12000005,2014,Count,GWh,Coal,Agriculture,0
S12000005,2014,Count,GWh,Coal,Domestic,2.9168096522
S12000005,2014,Count,GWh,Coal,Industrial & Commercial,0.1788873799
S12000005,2014,Count,GWh,Coal,Public Sector,0.7064847839
S12000005,2014,Count,GWh,Coal,Rail,0
S12000005,2014,Count,GWh,Coal,All,3.8021818161
S12000005,2014,Count,GWh,Electricity,Domestic,90.7995797
S12000005,2014,Count,GWh,Electricity,Industrial & Commercial,122.4794443
S12000005,2014,Count,GWh,Electricity,All,213.279024
S12000005,2014,Count,GWh,Gas,Domestic,302.3412
S12000005,2014,Count,GWh,Gas,Industrial & Commercial,776.2111
S12000005,2014,Count,GWh,Gas,All,1078.552
S12000005,2014,Count,GWh,Manufactured fuels,Domestic,1.8210066757
S12000005,2014,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2014,Count,GWh,Manufactured fuels,All,1.8210066757
S12000005,2014,Count,GWh,Petroleum products,Agriculture,9.4298855158
S12000005,2014,Count,GWh,Petroleum products,Domestic,9.2660355048
S12000005,2014,Count,GWh,Petroleum products,Industrial & Commercial,18.396830345399998
S12000005,2014,Count,GWh,Petroleum products,Public Sector,0.0360466733
S12000005,2014,Count,GWh,Petroleum products,Rail,49.504557682
S12000005,2014,Count,GWh,Petroleum products,Road transport,227.21628983
S12000005,2014,Count,GWh,Petroleum products,All,313.84964555
S12000005,2015,Count,GWh,All,All,1583.0098374
S12000005,2015,Count,GWh,Bioenergy & wastes,Domestic,12.570474685
S12000005,2015,Count,GWh,Bioenergy & wastes,All,12.570823678
S12000005,2015,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,3.489e-4
S12000005,2015,Count,GWh,Coal,Agriculture,0
S12000005,2015,Count,GWh,Coal,Domestic,2.9364017828
S12000005,2015,Count,GWh,Coal,Industrial & Commercial,0.1292267334
S12000005,2015,Count,GWh,Coal,Public Sector,0.0914324084
S12000005,2015,Count,GWh,Coal,Rail,0
S12000005,2015,Count,GWh,Coal,All,3.1570609245
S12000005,2015,Count,GWh,Electricity,Domestic,90.54494624
S12000005,2015,Count,GWh,Electricity,Industrial & Commercial,119.2382043
S12000005,2015,Count,GWh,Electricity,All,209.7831505
S12000005,2015,Count,GWh,Gas,Domestic,295.7301422
S12000005,2015,Count,GWh,Gas,Industrial & Commercial,745.3734176
S12000005,2015,Count,GWh,Gas,All,1041.10356
S12000005,2015,Count,GWh,Manufactured fuels,Domestic,1.7802852658
S12000005,2015,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2015,Count,GWh,Manufactured fuels,All,1.7802852658
S12000005,2015,Count,GWh,Petroleum products,Agriculture,9.8214486589
S12000005,2015,Count,GWh,Petroleum products,Domestic,9.2864463525
S12000005,2015,Count,GWh,Petroleum products,Industrial & Commercial,20.1093150948
S12000005,2015,Count,GWh,Petroleum products,Public Sector,0.052608305
