Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"22/01/2023 00:00:00","22/01/2023","NTS System Input Physical, Actual (Energy), D+1","3657738716.0000","23/01/2023 12:01:01","L"
"22/01/2023 00:00:00","22/01/2023","System Entry Energy, STFergus-Mobil, D+1","155965888.0000","23/01/2023 12:01:01","L"
"22/01/2023 00:00:00","22/01/2023","System Entry Energy, STFergus-NSMP, D+1","216370141.0000","23/01/2023 12:01:01","L"
"22/01/2023 00:00:00","22/01/2023","System Entry Energy, STFergus-Shell, D+1","294333681.0000","23/01/2023 12:01:01","L"
"21/01/2023 00:00:00","21/01/2023","NTS System Input Physical, Actual (Energy), D+1","3433030429.0000","22/01/2023 12:01:00","L"
"21/01/2023 00:00:00","21/01/2023","System Entry Energy, STFergus-Mobil, D+1","162546320.0000","22/01/2023 12:01:00","L"
"21/01/2023 00:00:00","21/01/2023","System Entry Energy, STFergus-NSMP, D+1","208200000.0000","22/01/2023 12:01:00","L"
"21/01/2023 00:00:00","21/01/2023","System Entry Energy, STFergus-Shell, D+1","249277969.0000","22/01/2023 12:01:00","L"
"20/01/2023 00:00:00","20/01/2023","NTS System Input Physical, Actual (Energy), D+1","3842158038.0000","21/01/2023 12:01:01","L"
"20/01/2023 00:00:00","20/01/2023","System Entry Energy, STFergus-Mobil, D+1","159335456.0000","21/01/2023 12:01:01","L"
"20/01/2023 00:00:00","20/01/2023","System Entry Energy, STFergus-NSMP, D+1","212160000.0000","21/01/2023 12:01:01","L"
"20/01/2023 00:00:00","20/01/2023","System Entry Energy, STFergus-Shell, D+1","249277969.0000","21/01/2023 12:01:01","L"
"19/01/2023 00:00:00","19/01/2023","NTS System Input Physical, Actual (Energy), D+1","3905192509.0000","20/01/2023 16:01:00","A"
"19/01/2023 00:00:00","19/01/2023","NTS System Input Physical, Actual (Energy), D+1","3905181398.0000","20/01/2023 14:01:01","A"
"19/01/2023 00:00:00","19/01/2023","System Entry Energy, STFergus-NSMP, D+1","215018550.0000","20/01/2023 14:01:01","A"
"19/01/2023 00:00:00","19/01/2023","NTS System Input Physical, Actual (Energy), D+1","3905182848.0000","20/01/2023 12:01:00","L"
"19/01/2023 00:00:00","19/01/2023","System Entry Energy, STFergus-Mobil, D+1","168047856.0000","20/01/2023 12:01:00","L"
