Quarter,Imports (France to UK),Exports (UK to France),Net imports (France to UK),Imports (Ireland to NI),Exports (NI to Ireland),Net imports (Ireland to NI),Imports (Netherlands to UK),Exports (UK to Netherlands),Net imports (Netherlands to UK),Imports (Ireland to Wales),Exports (Wales to Ireland),Net imports (Ireland to Wales),Imports (Belgium to UK),Exports (UK to Belgium),Net imports (Belgium to UK),Imports (Norway to UK),Exports (UK to Norway),Net imports (Norway to UK),UK total imports,UK total exports,UK total net imports,Transfers (Scotland to England),Transfers (England to Scotland),Net transfers (Scotland to England),Transfers (Scotland to NI),Transfers (NI to Scotland),Net transfers (Scotland to NI)
2005 Q1,2298.808,427.87,1870.938,0.267,471.68699999999995,-471.41999999999996,0,0,0,0,0,0,0,0,0,0,0,0,2299.075,899.557,1399.518,2040.355,85.75999999999999,1954.595,683.753,0,683.753
2005 Q2,2716.228,152.013,2564.215,0.118,438.38200000000006,-438.26399999999995,0,0,0,0,0,0,0,0,0,0,0,0,2716.346,590.395,2125.951,1432.6000000000001,261.688,1170.9120000000003,352.817,0.007,352.81
2005 Q3,2734.376,148.719,2585.657,0.003,644.4,-644.3969999999999,0,0,0,0,0,0,0,0,0,0,0,0,2734.379,793.1189999999999,1941.2599999999998,817.005,630.537,186.46799999999996,237.611,0.166,237.445
2005 Q4,3409.5170000000003,36.418,3373.099,0.748,519.69,-518.942,0,0,0,0,0,0,0,0,0,0,0,0,3410.2650000000003,556.1080000000001,2854.157,2327.874,11.924,2315.95,412.839,0,412.839
2006 Q1,2619.2452819999935,312.429971,2306.815310999994,2.47,472.188,-469.71799999999996,0,0,0,0,0,0,0,0,0,0,0,0,2621.7152819999937,784.6179709999999,1837.0973109999939,2509.297,12.741,2496.556,285.61,0,285.61
2006 Q2,3302.023,44.608,3257.4150000000004,5.682,398.457,-392.775,0,0,0,0,0,0,0,0,0,0,0,0,3307.705,443.065,2864.6400000000003,2231.718,51.242,2180.4759999999997,255.394,20.332,235.062
2006 Q3,2268.605,152.809,2115.7960000000003,1.469,494.722,-493.253,0,0,0,0,0,0,0,0,0,0,0,0,2270.074,647.531,1622.543,2509.611,90.81,2418.801,176.382,12.228,164.154
2006 Q4,2402.328,351.492,2050.836,0.311,422.574,-422.26300000000003,0,0,0,0,0,0,0,0,0,0,0,0,2402.639,774.066,1628.5729999999999,2943.424,3.4650000000000003,2939.959,223.62600000000003,3.1310000000000002,220.49500000000003
2007 Q1,1933.2930000000001,563.281,1370.0120000000002,7.084,255.90300000000002,-248.819,0,0,0,0,0,0,0,0,0,0,0,0,1940.377,819.184,1121.1930000000002,1291.3899999999999,419.32800000000003,872.0619999999999,562.47375,1.9745500000000034,560.4992
2007 Q2,1932.8690000000001,443.59499999999997,1489.2740000000001,0.123,599.446,-599.3230000000001,0,0,0,0,0,0,0,0,0,0,0,0,1932.9920000000002,1043.0410000000002,889.951,2157.721,67.424,2090.297,442.43274999999994,0.09495000000000003,442.33779999999996
2007 Q3,3129.5339999999997,21.212999999999997,3108.3210000000004,1.613,445.479,-443.86600000000004,0,0,0,0,0,0,0,0,0,0,0,0,3131.1470000000004,466.692,2664.455,1365.545,160.065,1205.48,426.929399999999,0,426.929399999999
2007 Q4,1566.438,988.331,578.107,44.451,81.157,-36.706,0,0,0,0,0,0,0,0,0,0,0,0,1610.8890000000001,1069.488,541.401,1847.593,381.35,1466.243,297.9321500000002,0.15505,297.7771000000002
2008 Q1,2676.6552170000004,178.30552200000002,2498.3496950000003,28.863114239569313,112.02716972274561,-83.16405548317628,0,0,0,0,0,0,0,0,0,0,0,0,2705.5183312395698,290.3326917227456,2415.185639516824,1927.316,34.272,1893.044,325.59730000000127,0,325.59730000000127
2008 Q2,3709.1982500000013,51.93491700000002,3657.2633330000017,25.89569,124.10982750000001,-98.21413750000002,0,0,0,0,0,0,0,0,0,0,0,0,3735.0939400000016,176.0447445,3559.0491955000016,1261.7069999999999,97.07600000000001,1164.6309999999999,214.6001000000009,2.877950000000004,211.7221500000009
2008 Q3,3789.2799529999975,0.455657,3788.824295999997,15.0494035,87.565136999999993,-72.51573350000001,0,0,0,0,0,0,0,0,0,0,0,0,3804.3293564999976,88.020794,3716.3085624999976,2866.9880000000003,3.305,2863.6830000000004,35.41994999999999,101.11965000000106,-65.69970000000106
2008 Q4,1966.9932580000004,667.5532069999997,1299.4400510000007,81.74989850000001,49.624789,32.12510950000001,0,0,0,0,0,0,0,0,0,0,0,0,2048.7431565000006,717.1779959999998,1331.565160500001,2695.7160000000003,172.733,2522.983,124.52549999999994,51.25125000000038,73.27424999999955
2009 Q1,1363.885613,740.5384969999998,623.3471160000001,38.298182,95.9239775,-57.625795499999995,0,0,0,0,0,0,0,0,0,0,0,0,1402.183795,836.4624744999996,565.7213205000003,4116.955,2.701,4114.254,398.15874999999977,9.032800000000007,389.12594999999976
2009 Q2,2970.378006999998,73.32304099999999,2897.054965999998,14.55459357142857,130.8844288571428,-116.32983528571424,0,0,0,0,0,0,0,0,0,0,0,0,2984.9326005714265,204.2074698571428,2780.7251307142833,1331.028,127.327,1203.701,505.44294999999966,3.1943499999999974,502.24859999999967
2009 Q3,1513.7002740000005,546.5457980000007,967.1544759999998,6.434122559109875,162.0637273713491,-155.62960481223922,0,0,0,0,0,0,0,0,0,0,0,0,1520.1343965591102,708.6095253713497,811.5248711877606,2342.414,18.750999999999998,2323.663,573.4989499999988,1.82975,571.6691999999988
2009 Q4,675.796061,1935.6490539999986,-1259.8529929999986,26.01616885662692,63.3252283268688,-37.309059470241884,0,0,0,0,0,0,0,0,0,0,0,0,701.8122298566268,1998.9742823268673,-1297.1620524702405,2614.744,47.566,2567.1780000000003,513.8051999999999,0,513.8051999999999
2010 Q1,683.5837000000001,2228.232208999998,-1544.6485089999976,13.023836000000001,159.60463100000004,-146.58079500000002,0,0,0,0,0,0,0,0,0,0,0,0,696.6075360000001,2387.8368399999977,-1691.2293039999977,1803.699,169.063,1634.636,700.5152999999992,0,700.5152999999992
2010 Q2,2005.3199260000006,504.4386349999999,1500.881291000001,20.162971,102.80166800000003,-82.63869700000004,0,0,0,0,0,0,0,0,0,0,0,0,2025.4828970000008,607.240303,1418.2425940000007,1374.6260000000002,17.605,1357.0210000000002,494.49769999999944,0.45049999999999996,494.04719999999946
2010 Q3,2877.283414000001,138.19412400000007,2739.089290000001,65.56742999999996,45.934947999999984,19.632481999999982,0,0,0,0,0,0,0,0,0,0,0,0,2942.8508440000005,184.12907200000006,2758.7217720000003,2756.647,4.253,2752.394,509.5419500000023,0.24165,509.3003000000023
2010 Q4,1431.9011850000006,1232.006911999999,199.89427300000187,46.664573000000004,70.79028950000006,-24.12571650000005,0,0,0,0,0,0,0,0,0,0,0,0,1478.5657580000006,1302.797201499999,175.7685565000018,2302.844,48.861000000000004,2253.983,593.5801000000017,0,593.5801000000017
2011 Q1,1708.7834670000002,569.051095,1139.7323720000002,21.1192525,114.93099600000001,-93.8117435,57.388014,39.244435,18.143578999999992,0,0,0,0,0,0,0,0,0,1787.2907335000002,723.226526,1064.0642075,1596.1629999999998,219.192,1376.9709999999998,796.8407500000006,0,796.8407500000006
2011 Q2,1360.6232190000005,187.8248829999999,1172.7983360000007,7.417131,167.64641699999993,-160.22928599999995,686.4349999999989,169.57774099999966,516.8572589999992,0,0,0,0,0,0,0,0,0,2054.4753499999997,525.0490409999995,1529.4263090000002,2916.384,5.774,2910.61,709.5675999999992,0,709.5675999999992
2011 Q3,1600.8921240000022,37.710494000000004,1563.1816300000023,20.9858445,74.02838600000004,-53.042541500000034,1033.7119200000006,184.86433599999998,848.8475840000007,0,0,0,0,0,0,0,0,0,2655.589888500003,296.60321600000003,2358.986672500003,2769.69,1.9,2767.79,262.66495000000293,0,262.66495000000293
2011 Q4,1361.0524189999987,559.0865409999999,801.9658779999987,71.20333700000005,9.211778499999996,61.99155850000005,760.4686909999996,353.80238699999995,406.6663039999996,0,0,0,0,0,0,0,0,0,2192.7244469999982,922.1007064999999,1270.6237404999983,4551.343,9.553,4541.79,0,0,0
2012 Q1,1674.9975009999985,994.9627480000025,680.034752999996,85.73297449999998,57.98321949999999,27.74975499999998,1409.0697520000008,129.18319600000004,1279.8865560000008,0,0,0,0,0,0,0,0,0,3169.8002274999994,1182.1291635000027,1987.6710639999967,4767.092,0,4767.092,469.0505499999996,0.67635,468.3741999999996
2012 Q2,1684.4495899999963,26.447623999999998,1658.0019659999964,19.444258,103.83069850000004,-84.38644050000005,1576.7419029999987,27.265845,1549.4760579999988,0,0,0,0,0,0,0,0,0,3280.6357509999953,157.54416750000004,3123.091583499995,1115.166,315.671,799.4949999999999,718.9124999999995,0.39185,718.5206499999995
2012 Q3,2817.614360999998,82.502962,2735.1113989999976,15.622529999999994,114.84322249999998,-99.22069249999998,1483.6587619999996,43.64211900000001,1440.0166429999995,20.274228000000004,39.64841600000001,-19.374188000000007,0,0,0,0,0,0,4337.169880999998,280.6367195,4056.5331614999977,1789.252,88.612,1700.6399999999999,489.8738500000056,0.07719999999999999,489.79665000000557
2012 Q4,1372.4935049999985,80.92954300000005,1291.5639619999986,51.93107000000002,56.34275899999998,-4.41168899999996,1560.4875210000005,66.477315,1494.0102060000006,1.812472999999983,86.33483999999996,-84.52236699999996,0,0,0,0,0,0,2986.724568999999,290.084457,2696.640111999999,3451.526,2.054,3449.4719999999998,486.4683500000051,0.783,485.6853500000051
2013 Q1,1664.3529660000013,168.76858,1495.5843860000011,56.67964599999999,38.92907550000002,17.750570499999974,1630.9412160000002,23.62263100000001,1607.318585,1.1315319999999978,307.9366999999997,-306.80516799999975,0,0,0,0,0,0,3353.1053600000014,539.2569864999997,2813.848373500002,2852.6680000000006,163.814,2688.8540000000007,445.4500000000048,2.6457500000000014,442.8042500000048
2013 Q2,2818.344391999997,43.876891000000036,2774.4675009999964,34.518343500000015,60.209624500000025,-25.69128100000001,1468.448668000001,66.45968400000001,1401.9889840000008,19.025442000000066,605.883855,-586.8584129999999,0,0,0,0,0,0,4340.336845499997,776.4300545000001,3563.9067909999976,3771.9159999999993,11.783,3760.1329999999994,414.8389120000044,2.992000000000001,411.8469120000044
2013 Q3,3710.474875000005,0.661317,3709.813558000005,36.523495,43.6540185,-7.130523500000006,1644.5631259999996,19.590676000000002,1624.9724499999993,10.606662999999994,684.6117179999999,-674.005055,0,0,0,0,0,0,5402.168159000004,748.5177294999999,4653.650429500005,2656.794,11.874,2644.92,248.80210000000028,0.023549999999999998,248.77855000000028
2013 Q4,2643.662143000005,321.14466100000004,2322.5174820000047,28.981228,59.15718150000001,-30.175953500000013,1734.5330409999997,33.800063,1700.7329779999995,30.023928,623.6141420000001,-593.5902140000002,0,0,0,0,0,0,4437.200340000005,1037.7160475000003,3399.484292500005,4192.389,11.656,4180.733,442.276400000002,5.080350000000001,437.196050000002
2014 Q1,3608.4741520000134,2.373111,3606.101041000013,45.70004099999999,46.117058,-0.4170170000000084,2005.631152,2.691778,2002.939374,40.294457,756.6689740000002,-716.3745170000001,0,0,0,0,0,0,5700.099802000013,807.8509210000002,4892.248881000014,2687.3669,0.283,2687.0839,376.10095000000314,6.566300000000002,369.5346500000031
2014 Q2,3761.018167000008,1.0339789999999998,3759.9841880000076,67.7076815,30.17635449999999,37.53132700000001,1905.7864120000017,4.516164,1901.2702480000019,35.77029200000001,658.32886799999994,-622.5585759999999,0,0,0,0,0,0,5770.28255250001,694.0553654999999,5076.2271870000095,3044.001,5.4990000000000006,3038.5020000000004,294.55935000000113,9.306049999999997,285.25330000000116
2014 Q3,4068.540459999994,0,4068.540459999994,66.18057800000003,17.785152,48.39542600000002,1874.9502700000037,2.53406,1872.416210000004,26.382124,583.280724,-556.8986,0,0,0,0,0,0,6036.053431999998,603.599936,5432.453495999997,1661.776,101.118,1560.6580000000001,145.83650000000077,3.091850000000001,142.74465000000077
2014 Q4,3526.652330000002,9.914615000000001,3516.737715000002,63.4415565,28.060613999999994,35.3809425,2080.520260000003,1.322725,2079.197535000003,66.085495,578.5428980000002,-512.4574030000002,0,0,0,0,0,0,5736.699641500005,617.8408520000002,5118.8587895000055,3512.9019999999996,29.219,3483.6829999999995,292.31075000000027,45.80979999999998,246.50095000000027
2015 Q1,3231.8035699999937,32.086704999999995,3199.716864999994,150.16586699999996,44.925752,105.24011499999995,2087.834005,0,2087.834005,67.065077,499.97906,-432.913983,0,0,0,0,0,0,5536.868518999994,576.9915169999999,4959.877001999994,4640.808,40.728,4600.08,250.03835000000018,53.00980000000003,197.02855000000017
2015 Q2,3977.5393350000013,2.1053,3975.434035000001,164.378495,40.32558600000001,124.05290899999997,1904.1118950000025,1.6424050000000028,1902.4694900000025,58.921584999999986,459.9238760000003,-401.00229100000024,0,0,0,0,0,0,6104.951310000004,503.99716700000033,5600.954143000003,3880.8859999999995,4.5520000000000005,3876.3339999999994,161.9638999999999,117.08305000000001,44.880849999999896
2015 Q3,3980.043490000007,0,3980.043490000007,107.14392900000001,46.708980999999994,60.43494800000002,1976.6040700000012,0.11967,1976.4844000000012,141.61653800000005,235.49945000000002,-93.88291199999998,0,0,0,0,0,0,6205.408027000009,282.328101,5923.0799260000085,2282.014,138.986,2143.0280000000002,120.4308,171.61125000000033,-51.18045000000032
2015 Q4,2822.9029299999956,140.13861999999992,2682.7643099999955,67.876514,23.328596999999988,44.54791700000001,2037.7388700000029,5.888775,2031.8500950000027,185.12526999999994,322.63984499999987,-137.51457499999992,0,0,0,0,0,0,5113.643583999999,491.99583699999977,4621.647746999998,4018.7799999999997,40.15,3978.6299999999997,152.57934999999992,151.83900000000017,0.7403499999997507
2016 Q1,3965.005904999992,55.939839999999975,3909.066064999992,134.65242400000002,70.93305000000001,63.719374000000016,2092.8465499999993,10.064179999999999,2082.7823699999994,208.88735699999992,229.18657599999995,-20.299219000000036,0,0,0,0,0,0,6401.3922359999915,366.12364599999995,6035.268589999991,4161.562,24.355999999999998,4137.206,199.16279999999995,184.07845000000023,15.084349999999716
2016 Q2,3516.956,0.204,3516.7520000000004,108.606764,86.59787300000002,22.00889099999998,1800.993,2.2365000000000004,1798.7565,249.4075,229.61450000000002,19.792999999999992,0,0,0,0,0,0,5675.963264,318.652873,5357.310391,1675.437,164.542,1510.895,72.327,135.461,-63.134000000000015
2016 Q3,2789.2474999999995,129.546,2659.7015,154.84592699999996,29.719312000000006,125.12661499999994,1699.33,37.6065,1661.7235,384.64700000000005,86.306,298.341,0,0,0,0,0,0,5028.070427,283.177812,4744.892615,1959.5030000000002,128.005,1831.498,2.837,61.53,-58.693
2016 Q4,786.55,1144.409,-357.85900000000004,240.5384530000001,52.79074099999998,187.74771200000012,1854.1675,91.2835,1762.8839999999998,31.2415,16.4285,14.812999999999999,0,0,0,0,0,0,2912.497453,1304.911741,1607.5857119999998,2506.843,347.294,2159.549,164.132,309.3615,-145.22949999999997
2017 Q1,1269.327,653.1424999999999,616.1845000000001,81.52034718573353,43.782228716016164,37.73811846971738,1851.487,89.41449999999999,1762.0725000000002,314.4615,123.80250000000001,190.65900000000002,0,0,0,0,0,0,3516.7958471857337,910.1417287160161,2606.654118469717,3190.209,217.317,2972.892,214.75,194.622,20.127999999999986
2017 Q2,3411.982,22.104000000000003,3389.8779999999997,106.29061599999996,93.53965300000004,12.750962999999917,1772.9215000000002,6.8774999999999995,1766.044,184.797,103.24799999999999,81.54899999999999,0,0,0,0,0,0,5475.991116,225.76915300000005,5250.221963,2327.642,213.35200000000003,2114.29,117.2005,262.415,-145.21450000000002
2017 Q3,3181.1130000000003,6.958,3174.155,35.21178607142858,76.74526671428573,-41.53348064285717,1764.761,8.594,1756.1670000000001,523.649,111.138,412.51099999999997,0,0,0,0,0,0,5504.734786071429,203.43526671428575,5301.299519357143,3155.7930000000006,58.56999999999999,3097.2230000000004,68.2345,285.168,-216.9335
2017 Q4,1569.794,1568.6595,1.1345000000001164,47.691929999999985,166.74208900000002,-119.05015900000006,1661.4455000000003,88.0485,1573.397,390.527,244.253,146.274,0,0,0,0,0,0,3669.4584299999997,2067.703089,1601.755341,4838.981,10.398,4828.583,346.776,149.5355,197.2405
2018 Q1,3608.7025,68.0035,3540.699,74.7642,213.2414,-138.4772,1887.4885000000002,16.512999999999998,1870.9755,272.57750000000004,169.72850000000003,102.849,0,0,0,0,0,0,5843.5327,467.4864,5376.0463,4174.7735,162.5165,4012.257,328.685,168.88400000000001,159.801
2018 Q2,3373.4365,3.959,3369.4775,114.76729999999999,176.315,-61.547700000000006,1657.7330000000002,46.551500000000004,1611.1815000000001,373.7435,141.896,231.8475,0,0,0,0,0,0,5519.6803,368.7215,5150.9588,2846.0420000000004,83.60900000000001,2762.4330000000004,296.596,148.6425,147.9535
