Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"06/08/2022 19:13:52","31/07/2022","Demand, Actual NDM, LDZ(SC), D+6","34349476.0000","06/08/2022 19:17:01","L"
"06/08/2022 08:56:32","05/08/2022","NTS Energy Offtaken, Moffat, Interconnector","146541667.0000","06/08/2022 11:30:00",""
"06/08/2022 01:00:00","06/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10312423.0000","07/08/2022 12:01:00","L"
"06/08/2022 01:00:00","06/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","10677778.0000","07/08/2022 12:01:00","L"
"05/08/2022 19:15:12","30/07/2022","Demand, Actual DM, LDZ(SC), D+6","15338549.0000","05/08/2022 19:18:01","L"
"05/08/2022 19:15:12","30/07/2022","Demand, Actual NDM, LDZ(SC), D+6","30859094.0000","05/08/2022 19:18:01","L"
"05/08/2022 08:04:04","04/08/2022","NTS Energy Offtaken, Moffat, Interconnector","131838880.0000","05/08/2022 11:30:00",""
"05/08/2022 01:00:00","05/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10583114.0000","06/08/2022 14:01:01","A"
"05/08/2022 01:00:00","05/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10173731.0000","06/08/2022 13:01:00","L"
"05/08/2022 01:00:00","05/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","45238889.0000","06/08/2022 13:01:00","L"
"04/08/2022 19:14:34","29/07/2022","Demand, Actual DM, LDZ(SC), D+6","17150548.0000","04/08/2022 19:17:01","L"
"04/08/2022 19:14:34","29/07/2022","Demand, Actual NDM, LDZ(SC), D+6","35791251.0000","04/08/2022 19:17:01","L"
"04/08/2022 08:58:22","03/08/2022","NTS Energy Offtaken, Moffat, Interconnector","138010950.0000","04/08/2022 11:30:00",""
"04/08/2022 01:00:00","04/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10945197.0000","05/08/2022 14:01:01","A"
"04/08/2022 01:00:00","04/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","11355475.0000","05/08/2022 12:01:01","L"
"04/08/2022 01:00:00","04/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","52072222.0000","05/08/2022 12:01:01","L"
"03/08/2022 19:13:55","28/07/2022","Demand, Actual DM, LDZ(SC), D+6","17901871.0000","03/08/2022 19:17:01","L"
"03/08/2022 19:13:55","28/07/2022","Demand, Actual NDM, LDZ(SC), D+6","41173685.0000","03/08/2022 19:17:01","L"
"03/08/2022 08:52:33","02/08/2022","NTS Energy Offtaken, Moffat, Interconnector","87137800.0000","03/08/2022 11:30:00",""
"03/08/2022 01:00:00","03/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","11279823.0000","04/08/2022 12:01:01","L"
"03/08/2022 01:00:00","03/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","33133333.0000","04/08/2022 12:01:01","L"
"02/08/2022 19:14:50","27/07/2022","Demand, Actual DM, LDZ(SC), D+6","17623399.0000","02/08/2022 19:18:00","L"
"02/08/2022 19:14:50","27/07/2022","Demand, Actual NDM, LDZ(SC), D+6","40500007.0000","02/08/2022 19:18:00","L"
