"","County","Planning Authority","Ref ID","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"80","Grampian","Scottish Government (S36)",4687,"Wind Onshore","Operational",2006-04-01,65,28,"Offshore",NA
"81","Grampian","Scottish Government (S36)",12822,"Solar Photovoltaics","Awaiting Construction",NA,50,0,"Offshore",NA
"82","Grampian","Scottish Government (S36)",4261,"Wind Onshore","Operational",2014-05-30,66.7,29,"Offshore",NA
"83","Grampian","Scottish Government (S36)",6577,"Wind Onshore","Awaiting Construction",NA,42,10,"Offshore",NA
"84","Grampian","Scottish Government (S36)",4244,"Wind Onshore","Operational",2018-09-15,177,59,"Offshore",NA
"85","Highland","Scottish Government (S36)",4118,"Wind Onshore","Operational",2016-09-13,94,33,"Highland","S12000017"
"86","Highland","Scottish Government (S36)",482,"Small Hydro","Operational",2012-12-20,1.5,0,"Highland","S12000017"
"87","Highland","Highlands Council",9872,"Anaerobic Digestion","Awaiting Construction",NA,4,0,"Highland","S12000017"
"88","Highland","Scottish Government (S36)",2723,"Wind Onshore","Operational",2011-04-01,15,6,"Highland","S12000017"
"89","Highland","Scottish Government (S36)",3435,"Wind Onshore","Under Construction",NA,47,11,"Highland","S12000017"
"90","Highland","Scottish Government (S36)",12290,"Wind Onshore","Application Submitted",NA,72.6,11,"Highland","S12000017"
"91","Highland","Scottish Government (S36)",4006,"Wind Onshore","Operational",2013-02-09,50,25,"Highland","S12000017"
"92","Highland","Scottish Government (S36)",8364,"Wind Onshore","Application Submitted",NA,84,14,"Highland","S12000017"
"93","Highland","Scottish Government (S36)",11357,"Wind Onshore","Application Submitted",NA,58.8,13,"Highland","S12000017"
"94","Highland","Highlands Council",13804,"Solar Photovoltaics","Application Submitted",NA,0.6531,0,"Highland","S12000017"
"95","Highland","Scottish Government (S36)",7474,"Wind Onshore","Application Submitted",NA,63,15,"Highland","S12000017"
"96","Highland","Scottish Government (S36)",3662,"Wind Onshore","Operational",2012-06-12,70,35,"Highland","S12000017"
"97","Highland","Scottish Government (S36)",3647,"Wind Onshore","Operational",2016-05-12,66,20,"Highland","S12000017"
"98","Highland","Scottish Government (S36)",6601,"Large Hydro","Operational",1929-01-01,65,0,"Highland","S12000017"
"99","Highland","Scottish Government (S36)",5195,"Wind Onshore","Awaiting Construction",NA,64.6,19,"Highland","S12000017"
"100","Highland","Scottish Government (S36)",6733,"Wind Onshore","Application Submitted",NA,150,36,"Highland","S12000017"
"101","Highland","Scottish Government (S36)",6634,"Wind Onshore","Application Submitted",NA,81.6,17,"Highland","S12000017"
"102","Highland","Scottish Government (S36)",410,"Small Hydro","Operational",2017-10-06,2,0,"Highland","S12000017"
"103","Highland","Scottish Government (S36)",7475,"Wind Onshore","Awaiting Construction",NA,76,18,"Highland","S12000017"
"104","Highland","Scottish Government (S36)",6005,"Wind Onshore","Awaiting Construction",NA,79.8,19,"Highland","S12000017"
"105","Highland","Scottish Government (S36)",6362,"Wind Onshore","Application Submitted",NA,57.6,12,"Highland","S12000017"
"106","Highland","Scottish Government (S36)",7710,"Wind Onshore","Application Submitted",NA,67.2,16,"Highland","S12000017"
"107","Highland","Scottish Government (S36)",7711,"Wind Onshore","Application Submitted",NA,96,16,"Highland","S12000017"
"108","Highland","Scottish Government (S36)",9417,"Wind Onshore","Application Submitted",NA,66.6,10,"Highland","S12000017"
"109","Highland","Scottish Government (S36)",11669,"Wind Onshore","Application Submitted",NA,57.6,12,"Highland","S12000017"
"110","Highland","Scottish Government (S36)",4625,"Wind Onshore","Operational",2015-12-01,67.7,33,"Highland","S12000017"
"111","Highland","Scottish Government (S36)",7708,"Wind Onshore","Awaiting Construction",NA,21,5,"Highland","S12000017"
"112","Highland","Scottish Government (S36)",474,"Small Hydro","Operational",2015-12-15,1.9,0,"Highland","S12000017"
"113","Highland","Scottish Government (S36)",4395,"Wind Onshore","Operational",2014-05-14,18,6,"Highland","S12000017"
"114","Highland","Scottish Government (S36)",7473,"Wind Onshore","Awaiting Construction",NA,84,15,"Highland","S12000017"
