"","County","Planning Authority","Ref ID","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"448","Western Isles","Comhairle nan Eilean Siar Council",4272,"Wind Onshore","Operational",2015-07-17,9,3,"Comhairle nan Eilean Siar","S12000013"
"449","Western Isles","Comhairle nan Eilean Siar Council",3670,"Wind Onshore","Operational",2013-02-18,6.9,3,"Comhairle nan Eilean Siar","S12000013"
"450","Western Isles","Comhairle nan Eilean Siar Council",4629,"Wind Onshore","Operational",2015-03-19,1.5,3,"Comhairle nan Eilean Siar","S12000013"
"451","Western Isles","Comhairle nan Eilean Siar Council",6573,"Wind Onshore","Application Submitted",NA,48.3,14,"Comhairle nan Eilean Siar","S12000013"
"452","Western Isles","Comhairle nan Eilean Siar Council",4063,"Wind Onshore","Operational",2013-03-28,13.8,6,"Comhairle nan Eilean Siar","S12000013"
"465","Dumfries and Galloway","Dumfries and Galloway Council",4441,"Wind Onshore","Operational",2018-02-01,32.4,9,"Dumfries and Galloway","S12000006"
"466","Dumfries and Galloway","Dumfries and Galloway Council",7398,"Wind Onshore","Awaiting Construction",NA,49,9,"Dumfries and Galloway","S12000006"
"467","Dumfries and Galloway","Dumfries and Galloway Council",4520,"Wind Onshore","Operational",2008-03-15,30,15,"Dumfries and Galloway","S12000006"
"468","Dumfries and Galloway","Dumfries and Galloway Council",4501,"Wind Onshore","Operational",2014-01-15,15.3,18,"Dumfries and Galloway","S12000006"
"469","Dumfries and Galloway","Dumfries and Galloway Council",4514,"Wind Onshore","Operational",2015-11-15,1,2,"Dumfries and Galloway","S12000006"
"470","Dumfries and Galloway","Dumfries and Galloway Council",4638,"Wind Onshore","Operational",2016-06-01,27.5,11,"Dumfries and Galloway","S12000006"
"471","Dumfries and Galloway","Dumfries and Galloway Council",4492,"Wind Onshore","Awaiting Construction",NA,33.6,8,"Dumfries and Galloway","S12000006"
"472","Dumfries and Galloway","Dumfries and Galloway Council",4508,"Wind Onshore","Operational",2010-01-20,22,11,"Dumfries and Galloway","S12000006"
"473","Dumfries and Galloway","Dumfries and Galloway Council",8488,"Solar Photovoltaics","Awaiting Construction",NA,37.9,0,"Dumfries and Galloway","S12000006"
"474","Dumfries and Galloway","Dumfries and Galloway Council",4524,"Wind Onshore","Operational",2007-10-01,10,4,"Dumfries and Galloway","S12000006"
"475","Dumfries and Galloway","Dumfries and Galloway Council",4633,"Wind Onshore","Operational",2021-06-01,48,10,"Dumfries and Galloway","S12000006"
"476","Dumfries and Galloway","Dumfries and Galloway Council",4449,"Wind Onshore","Operational",2020-11-01,30,15,"Dumfries and Galloway","S12000006"
"477","Dumfries and Galloway","Dumfries and Galloway Council",4465,"Wind Onshore","Operational",2017-05-15,2.5,1,"Dumfries and Galloway","S12000006"
"478","Dumfries and Galloway","Dumfries and Galloway Council",4502,"Wind Onshore","Operational",2018-04-30,25.3,11,"Dumfries and Galloway","S12000006"
"479","Dumfries and Galloway","Dumfries and Galloway Council",9889,"Wind Onshore","Application Submitted",NA,39.2,7,"Dumfries and Galloway","S12000006"
"480","Dumfries and Galloway","Dumfries and Galloway Council",6444,"Wind Onshore","Awaiting Construction",NA,36,10,"Dumfries and Galloway","S12000006"
"481","Dumfries and Galloway","Dumfries and Galloway Council",4437,"Wind Onshore","Operational",2017-03-15,25,10,"Dumfries and Galloway","S12000006"
"482","Dumfries and Galloway","Dumfries and Galloway Council",8442,"Wind Onshore","Awaiting Construction",NA,50,9,"Dumfries and Galloway","S12000006"
"483","Dumfries and Galloway","Dumfries and Galloway Council",12426,"Wind Onshore","Application Submitted",NA,5,5,"Dumfries and Galloway","S12000006"
"484","Dumfries and Galloway","Dumfries and Galloway Council",359,"Anaerobic Digestion","Operational",2015-12-01,1.2,0,"Dumfries and Galloway","S12000006"
"485","Dumfries and Galloway","Dumfries and Galloway Council",4519,"Wind Onshore","Operational",2007-05-01,18.2,14,"Dumfries and Galloway","S12000006"
"486","Dumfries and Galloway","Dumfries and Galloway Council",6590,"Wind Onshore","Under Construction",NA,37.8,9,"Dumfries and Galloway","S12000006"
"487","Dumfries and Galloway","Dumfries and Galloway Council",8263,"Wind Onshore","Awaiting Construction",NA,0,0,"Dumfries and Galloway","S12000006"
"488","Dumfries and Galloway","Dumfries and Galloway Council",5116,"Wind Onshore","Awaiting Construction",NA,20,8,"Dumfries and Galloway","S12000006"
"489","Dumfries and Galloway","Dumfries and Galloway Council",4484,"Wind Onshore","Operational",2015-07-15,2.4,3,"Dumfries and Galloway","S12000006"
"490","Dumfries and Galloway","Dumfries and Galloway Council",6751,"Wind Onshore","Application Submitted",NA,18,5,"Dumfries and Galloway","S12000006"
"491","Dumfries and Galloway","Dumfries and Galloway Council",4435,"Wind Onshore","Operational",2013-08-27,8.1,4,"Dumfries and Galloway","S12000006"
"492","Dumfries and Galloway","Dumfries and Galloway Council",7562,"Wind Onshore","Operational",2022-01-10,43,12,"Dumfries and Galloway","S12000006"
"493","Dumfries and Galloway","Dumfries and Galloway Council",4529,"Wind Onshore","Under Construction",NA,4,2,"Dumfries and Galloway","S12000006"
"494","Dumfries and Galloway","Dumfries and Galloway Council",8807,"Solar Photovoltaics","Application Submitted",NA,0.215,0,"Dumfries and Galloway","S12000006"
"495","Dumfries and Galloway","Dumfries and Galloway Council",196,"Biomass (dedicated)","Operational",2007-12-15,50.4,0,"Dumfries and Galloway","S12000006"
"496","Dumfries and Galloway","Dumfries and Galloway Council",4462,"Wind Onshore","Operational",2017-03-15,35,14,"Dumfries and Galloway","S12000006"
"497","Dumfries and Galloway","Dumfries and Galloway Council",4517,"Wind Onshore","Operational",2008-03-01,36.8,16,"Dumfries and Galloway","S12000006"
"498","Dumfries and Galloway","Dumfries and Galloway Council",10532,"Solar Photovoltaics","Application Submitted",NA,49.9,0,"Dumfries and Galloway","S12000006"
"499","Dumfries and Galloway","Dumfries and Galloway Council",4445,"Wind Onshore","Operational",2012-09-01,9.1,7,"Dumfries and Galloway","S12000006"
"500","Dumfries and Galloway","Dumfries and Galloway Council",4527,"Wind Onshore","Operational",1996-10-01,21.6,36,"Dumfries and Galloway","S12000006"
"501","Dumfries and Galloway","Dumfries and Galloway Council",7891,"Wind Onshore","Application Submitted",NA,24,7,"Dumfries and Galloway","S12000006"
"502","Dumfries and Galloway","Dumfries and Galloway Council",4632,"Wind Onshore","Awaiting Construction",NA,25.6,8,"Dumfries and Galloway","S12000006"
"503","Wigtownshire","Dumfries and Galloway Council",8400,"Wind Onshore","Awaiting Construction",NA,8.4,4,"Dumfries and Galloway","S12000006"
"504","Dumfries and Galloway","Dumfries and Galloway Council",4518,"Wind Onshore","Operational",2005-06-23,19.5,15,"Dumfries and Galloway","S12000006"
"505","Wigtownshire","Dumfries and Galloway Council",11173,"Solar Photovoltaics","Awaiting Construction",NA,0.46,0,"Dumfries and Galloway","S12000006"
"506","Tayside","Dundee City Council",4681,"Wind Onshore","Operational",2006-05-20,4,2,"Dundee City","S12000042"
"507","Tayside","Dundee City Council",9650,"Solar Photovoltaics","Awaiting Construction",NA,2,0,"Dundee City","S12000042"
"508","Dundee","Dundee City Council",12592,"Solar Photovoltaics","Awaiting Construction",NA,0.162405,0,"Dundee City","S12000042"
"509","Angus","Dundee City Council",11891,"Solar Photovoltaics","Under Construction",NA,0,0,"Dundee City","S12000042"
"510","Tayside","Dundee City Council",6171,"EfW Incineration","Under Construction",NA,10,0,"Dundee City","S12000042"
"511","Tayside","Dundee City Council",874,"EfW Incineration","Operational",2000-03-31,8.3,0,"Dundee City","S12000042"
"514","Strathclyde","East Ayrshire Council",746,"Landfill Gas","Operational",2003-04-15,2.4,0,"East Ayrshire","S12000008"
"515","Ayrshire","East Ayrshire Council",11732,"Solar Photovoltaics","Awaiting Construction",NA,0.458,0,"East Ayrshire","S12000008"
"516","Strathclyde","East Ayrshire Council",690,"Landfill Gas","Operational",2003-12-29,1.3,0,"East Ayrshire","S12000008"
"517","East Ayrshire","East Ayrshire Council",7261,"Wind Onshore","Application Submitted",NA,36,8,"East Ayrshire","S12000008"
"518","Strathclyde","East Ayrshire Council",4128,"Wind Onshore","Under Construction",NA,45,15,"East Ayrshire","S12000008"
"519","Strathclyde","East Ayrshire Council",4157,"Wind Onshore","Operational",2016-09-15,29.8,35,"East Ayrshire","S12000008"
"520","Ayrshire","East Ayrshire Council",8353,"EfW Incineration","Application Submitted",NA,12,0,"East Ayrshire","S12000008"
"521","Ayrshire","East Ayrshire Council",13180,"Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"East Ayrshire","S12000008"
"522","Strathclyde","East Ayrshire Council",2711,"Wind Onshore","Operational",2000-11-01,13.2,20,"East Ayrshire","S12000008"
"523","Strathclyde","East Ayrshire Council",8432,"Solar Photovoltaics","Operational",2021-12-02,0,0,"East Ayrshire","S12000008"
"524","East Ayrshire","East Ayrshire Council",8822,"Wind Onshore","Application Submitted",NA,34.2,9,"East Ayrshire","S12000008"
"525","Strathclyde","East Ayrshire Council",8417,"Solar Photovoltaics","Application Submitted",NA,0,0,"East Ayrshire","S12000008"
"526","East Ayrshire","East Ayrshire Council",6807,"Small Hydro","Awaiting Construction",NA,0.3,0,"East Ayrshire","S12000008"
"527","Ayrshire","East Ayrshire Council",13393,"Wind Onshore","Application Submitted",NA,49.6,8,"East Ayrshire","S12000008"
"528","Strathclyde","East Ayrshire Council",4389,"Wind Onshore","Awaiting Construction",NA,4,2,"East Ayrshire","S12000008"
"529","Strathclyde","East Ayrshire Council",671,"Landfill Gas","Operational",2003-12-29,3,0,"East Ayrshire","S12000008"
"530","Lothian","East Lothian Council",14084,"Solar Photovoltaics","Application Submitted",NA,0.1724,0,"East Lothian","S12000010"
"531","East Lothian","East Lothian Council",5637,"Wind Onshore","Operational",2019-03-01,4.8,6,"East Lothian","S12000010"
"532","Lothian","East Lothian Council",4526,"Wind Onshore","Operational",2008-11-01,48,16,"East Lothian","S12000010"
"533","Lothian","East Lothian Council",992,"EfW Incineration","Operational",2019-03-01,25.6,0,"East Lothian","S12000010"
"534","Lothian","East Lothian Council",4516,"Wind Onshore","Operational",2017-12-19,4.5,5,"East Lothian","S12000010"
"535","East Lothian","East Lothian Council",6388,"Wind Onshore","Operational",2015-01-01,1.5,2,"East Lothian","S12000010"
"536","East Lothian","East Lothian Council",12813,"Solar Photovoltaics","Awaiting Construction",NA,0.26,0,"East Lothian","S12000010"
"537","Lothian","East Lothian Council",4434,"Wind Onshore","Operational",2019-03-29,5.1,6,"East Lothian","S12000010"
"538","Lothian","East Lothian Council",793,"Landfill Gas","Operational",2004-12-01,14,0,"East Lothian","S12000010"
"539","Lothian","East Lothian Council",333,"Anaerobic Digestion","Operational",2016-01-01,1.5,0,"East Lothian","S12000010"
"540","Lothian","East Lothian Council",794,"Landfill Gas","Operational",2004-12-01,2.2,0,"East Lothian","S12000010"
"541","East Lothian","East Lothian Council",7745,"Solar Photovoltaics","Operational",2021-01-01,0.2,0,"East Lothian","S12000010"
"542","Strathclyde","East Renfrewshire Council",3925,"Wind Onshore","Operational",2014-11-12,7.2,3,"East Renfrewshire","S12000011"
"543","Strathclyde","East Renfrewshire Council",3090,"Wind Onshore","Operational",2001-11-01,1.8,2,"East Renfrewshire","S12000011"
"544","Strathclyde","East Renfrewshire Council",3702,"Wind Onshore","Operational",2013-09-04,12,6,"East Renfrewshire","S12000011"
"545","Strathclyde","East Renfrewshire Council",9669,"Wind Onshore","Application Submitted",NA,4.2,1,"East Renfrewshire","S12000011"
"546","Strathclyde","East Renfrewshire Council",3093,"Wind Onshore","Operational",2001-02-15,4.7,2,"East Renfrewshire","S12000011"
"547","Strathclyde","East Renfrewshire Council",3855,"Wind Onshore","Operational",2014-11-12,4.3,2,"East Renfrewshire","S12000011"
"548","Strathclyde","East Renfrewshire Council",3857,"Wind Onshore","Operational",2013-05-13,9.2,4,"East Renfrewshire","S12000011"
"549","East Renfrewshire","East Renfrewshire Council",7687,"Wind Onshore","Application Submitted",NA,15,3,"East Renfrewshire","S12000011"
"550","Lothian","Edinburgh City Council",7943,"Solar Photovoltaics","Operational",2020-08-01,0.2,0,"City of Edinburgh","S12000036"
"551","Lothian","Edinburgh City Council",7763,"Solar Photovoltaics","Operational",2022-01-01,0.2,0,"City of Edinburgh","S12000036"
"552","Lothian","Edinburgh City Council",686,"Landfill Gas","Operational",2003-02-15,2.4,0,"City of Edinburgh","S12000036"
"556","Stirling","Falkirk Council",8795,"Landfill Gas","Awaiting Construction",NA,22.5,0,"Falkirk","S12000014"
"557","Falkirk","Falkirk Council",11032,"Wind Onshore","Awaiting Construction",NA,6,2,"Falkirk","S12000014"
"558","Falkirk","Falkirk Council",6102,"Advanced Conversion Technologies","Operational",2017-04-01,2,0,"Falkirk","S12000014"
"559","Stirlingshire","Falkirk Council",12173,"Solar Photovoltaics","Awaiting Construction",NA,0.812,0,"Falkirk","S12000014"
"560","Central","Falkirk Council",10950,"Solar Photovoltaics","Application Submitted",NA,0,0,"Falkirk","S12000014"
"561","Falkirk","Falkirk Council",3415,"Wind Onshore","Operational",2015-01-22,12,4,"Falkirk","S12000014"
"562","Stirling","Falkirk Council",4125,"Wind Onshore","Operational",2016-02-29,26,13,"Falkirk","S12000014"
"563","Lothian","Falkirk Council",11960,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Falkirk","S12000014"
"564","Stirlingshire","Falkirk Council",13759,"Solar Photovoltaics","Awaiting Construction",NA,0.55,0,"Falkirk","S12000014"
"565","Central","Falkirk Council",11953,"Solar Photovoltaics","Awaiting Construction",NA,0.44,0,"Falkirk","S12000014"
"566","Falkirk","Falkirk Council",5352,"EfW Incineration","Under Construction",NA,21.5,0,"Falkirk","S12000014"
"567","Fife","Fife Council",4730,"Biomass (dedicated)","Operational",2016-12-07,6.5,0,"Fife","S12000047"
"568","Fife","Fife Council",8205,"Solar Photovoltaics","Operational",2021-07-19,0.62,0,"Fife","S12000047"
"569","Fife","Fife Council",172,"Biomass (dedicated)","Operational",2013-05-08,5.5,0,"Fife","S12000047"
"570","Fife","Fife Council",5513,"Solar Photovoltaics","Operational",2017-03-31,4,0,"Fife","S12000047"
"571","Fife","Fife Council",9500,"Solar Photovoltaics","Under Construction",NA,4.19,0,"Fife","S12000047"
"572","Fife","Fife Council",5797,"Solar Photovoltaics","Operational",2017-01-27,5,0,"Fife","S12000047"
"573","Fife","Fife Council",6262,"EfW Incineration","Under Construction",NA,23.7,0,"Fife","S12000047"
"574","Fife","Fife Council",7531,"Solar Photovoltaics","Operational",2021-12-01,1,0,"Fife","S12000047"
"575","Fife","Fife Council",6726,"Solar Photovoltaics","Operational",NA,1.9,0,"Fife","S12000047"
"576","Fife","Fife Council",2780,"Wind Onshore","Operational",2015-12-01,4.6,2,"Fife","S12000047"
"577","Fife","Fife Council",269,"Anaerobic Digestion","Operational",2014-03-31,1.7,0,"Fife","S12000047"
"578","Fife","Fife Council",4093,"Wind Onshore","Operational",2014-12-01,1.5,1,"Fife","S12000047"
"579","Fife","Fife Council",7267,"Solar Photovoltaics","Operational",2020-03-31,0.2,0,"Fife","S12000047"
"580","Fife","Fife Council",12324,"Solar Photovoltaics","Awaiting Construction",NA,1,0,"Fife","S12000047"
"581","Fife","Fife Council",13683,"Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Fife","S12000047"
"582","Fife","Fife Council",11861,"Solar Photovoltaics","Application Submitted",NA,30,0,"Fife","S12000047"
"583","Fife","Fife Council",10660,"Wind Onshore","Awaiting Construction",NA,0.5,1,"Fife","S12000047"
"584","Fife","Fife Council",6082,"Wind Onshore","Awaiting Construction",NA,12.3,6,"Fife","S12000047"
"585","Fife","Fife Council",5899,"Anaerobic Digestion","Operational",2018-06-01,2,0,"Fife","S12000047"
"586","Fife","Fife Council",13536,"Solar Photovoltaics","Application Submitted",NA,3.5,0,"Fife","S12000047"
"587","Fife","Fife Council",4094,"Wind Onshore","Operational",2016-11-20,6.4,2,"Fife","S12000047"
"588","Fife","Fife Council",4088,"Wind Onshore","Operational",2015-12-27,2,1,"Fife","S12000047"
"589","Fife","Fife Council",2704,"Wind Onshore","Operational",2011-10-31,1.5,1,"Fife","S12000047"
"590","Fife","Fife Council",683,"Landfill Gas","Operational",2006-09-01,2,0,"Fife","S12000047"
"591","Fife","Fife Council",3684,"Wind Onshore","Operational",2013-03-31,12.5,5,"Fife","S12000047"
"592","Fife","Fife Council",9403,"Solar Photovoltaics","Awaiting Construction",NA,25,0,"Fife","S12000047"
"593","Fife","Fife Council",62,"Biomass (dedicated)","Operational",2000-08-21,12.5,0,"Fife","S12000047"
"594","Fife","Fife Council",5800,"Solar Photovoltaics","Awaiting Construction",NA,12,0,"Fife","S12000047"
"595","Fife","Fife Council",6745,"Solar Photovoltaics","Operational",2020-07-23,0.3,0,"Fife","S12000047"
"596","Fife","Fife Council",11155,"Solar Photovoltaics","Operational",2023-06-15,0.65,0,"Fife","S12000047"
"597","Fife","Fife Council",4363,"Wind Onshore","Operational",2014-07-30,18.4,8,"Fife","S12000047"
"598","Fife","Fife Council",11263,"Solar Photovoltaics","Awaiting Construction",NA,29.9,0,"Fife","S12000047"
"599","Fife","Fife Council",13152,"Solar Photovoltaics","Awaiting Construction",NA,0.151,0,"Fife","S12000047"
"600","Fife","Fife Council",7806,"Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Fife","S12000047"
"601","Fife","Fife Council",4034,"Wind Onshore","Operational",2012-11-27,25,9,"Fife","S12000047"
"602","Fife","Fife Council",2687,"Wind Onshore","Operational",2011-12-07,1.5,2,"Fife","S12000047"
"603","Fife","Fife Council",4404,"Wind Onshore","Operational",2014-12-01,1.5,1,"Fife","S12000047"
"604","Fife","Fife Council",3370,"Wind Onshore","Operational",2014-12-15,1.5,3,"Fife","S12000047"
"605","Fife","Fife Council",5384,"Solar Photovoltaics","Operational",2017-03-30,5,0,"Fife","S12000047"
"606","Fife","Fife Council",697,"Landfill Gas","Operational",2007-02-28,1,0,"Fife","S12000047"
"607","Fife","Fife Council",4078,"Wind Onshore","Operational",2016-10-24,6.9,3,"Fife","S12000047"
"608","Strathclyde","Glasgow City Council",1009,"EfW Incineration","Awaiting Construction",NA,20,0,"Glasgow City","S12000049"
"609","Strathclyde","Glasgow City Council",689,"Landfill Gas","Operational",2000-06-01,3.9,0,"Glasgow City","S12000049"
"610","Strathclyde","Glasgow City Council",4060,"Wind Onshore","Operational",2013-05-29,3,1,"Glasgow City","S12000049"
"611","Strathclyde","Glasgow City Council",13967,"Solar Photovoltaics","Application Submitted",NA,0.241,0,"Glasgow City","S12000049"
"612","Strathclyde","Glasgow City Council",286,"Anaerobic Digestion","Operational",2017-12-15,5,0,"Glasgow City","S12000049"
"613","Strathclyde","Glasgow City Council",14035,"Solar Photovoltaics","Application Submitted",NA,0.26,0,"Glasgow City","S12000049"
"614","Strathclyde","Glasgow City Council",8981,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Glasgow City","S12000049"
"615","Strathclyde","Glasgow City Council",734,"Landfill Gas","Operational",1999-07-28,2.8,0,"Glasgow City","S12000049"
"616","Strathclyde","Glasgow City Council",8433,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Glasgow City","S12000049"
"617","Glasgow City","Glasgow City Council",13856,"Solar Photovoltaics","Awaiting Construction",NA,0.537,0,"Glasgow City","S12000049"
"618","Strathclyde","Glasgow City Council",8806,"EfW Incineration","Operational",2022-01-01,0,0,"Glasgow City","S12000049"
"619","Strathclyde","Glasgow City Council",928,"Advanced Conversion Technologies","Operational",2019-08-01,10,0,"Glasgow City","S12000049"
"620","Strathclyde","Glasgow City Council",7758,"Solar Photovoltaics","Operational",2021-01-01,0.175,0,"Glasgow City","S12000049"
"621","Strathclyde","Glasgow City Council",9883,"Solar Photovoltaics","Awaiting Construction",NA,18.4,0,"Glasgow City","S12000049"
"624","Highland","Highland Council",7328,"Small Hydro","Under Construction",NA,0.5,0,"Highland","S12000017"
"625","Highland","Highland Council",4669,"Wind Onshore","Operational",2005-12-01,29.8,17,"Highland","S12000017"
"626","Highland","Highland Council",13899,"Solar Photovoltaics","Application Submitted",NA,0.336,0,"Highland","S12000017"
"627","Highland","Highland Council",434,"Small Hydro","Operational",2002-02-15,3.3,0,"Highland","S12000017"
"628","Highland","Highland Council",435,"Small Hydro","Operational",2005-03-01,2,0,"Highland","S12000017"
"629","Highland","Highland Council",488,"Small Hydro","Operational",2016-10-15,1.3,0,"Highland","S12000017"
"630","Highland","Highland Council",4679,"Wind Onshore","Operational",2007-07-01,5.2,4,"Highland","S12000017"
"631","Highland","Highland Council",4122,"Wind Onshore","Operational",2015-08-07,22.5,9,"Highland","S12000017"
"632","Highland","Highland Council",4359,"Wind Onshore","Awaiting Construction",NA,50,12,"Highland","S12000017"
"633","Highland","Highland Council",493,"Small Hydro","Operational",2017-09-29,2,0,"Highland","S12000017"
"634","Highland","Highland Council",4664,"Wind Onshore","Operational",2016-09-30,69.5,23,"Highland","S12000017"
"635","Highland","Highland Council",438,"Small Hydro","Operational",2017-12-07,1,0,"Highland","S12000017"
"636","Highland","Highland Council",8537,"Wind Onshore","Awaiting Construction",NA,8.4,2,"Highland","S12000017"
"637","Highland","Highland Council",479,"Small Hydro","Operational",2016-09-07,2,0,"Highland","S12000017"
"638","Highland","Highland Council",7318,"Small Hydro","Under Construction",NA,0.6,0,"Highland","S12000017"
"639","Highland","Highland Council",6741,"Small Hydro","Under Construction",NA,0.4,0,"Highland","S12000017"
"640","Highland","Highland Council",406,"Large Hydro","Operational",1959-01-01,10,0,"Highland","S12000017"
"641","Highland","Highland Council",4707,"Small Hydro","Operational",2017-01-15,1.6,0,"Highland","S12000017"
"642","Highland","Highland Council",491,"Small Hydro","Operational",2016-12-21,1.5,0,"Highland","S12000017"
"643","Highland","Highland Council",5418,"Small Hydro","Operational",2017-07-01,1.9,0,"Highland","S12000017"
"644","Highland","Highland Council",28,"Biomass (dedicated)","Operational",2009-11-01,5,0,"Highland","S12000017"
"645","Highland","Highland Council",4121,"Wind Onshore","Operational",2015-12-03,29.9,12,"Highland","S12000017"
"646","Highland","Highland Council",2859,"Wind Onshore","Awaiting Construction",NA,42,14,"Highland","S12000017"
"647","Highland","Highland Council",428,"Small Hydro","Operational",2007-11-01,3,0,"Highland","S12000017"
"648","Highland","Highland Council",471,"Small Hydro","Operational",1959-01-01,2.5,0,"Highland","S12000017"
"649","Highland","Highland Council",3126,"Wind Onshore","Operational",2005-08-01,13,15,"Highland","S12000017"
"650","Highland","Highland Council",400,"Large Hydro","Operational",1959-01-01,18,0,"Highland","S12000017"
"651","Highland","Highland Council",460,"Small Hydro","Operational",2009-07-01,1.4,0,"Highland","S12000017"
"652","Highland","Highland Council",403,"Large Hydro","Operational",1968-01-01,5.2,0,"Highland","S12000017"
"653","Highland","Highland Council",9596,"Small Hydro","Application Submitted",NA,0.55,0,"Highland","S12000017"
"654","Highland","Highland Council",444,"Small Hydro","Operational",2017-12-07,2,0,"Highland","S12000017"
"655","Highland","Highland Council",4674,"Wind Onshore","Operational",2010-06-21,41.4,18,"Highland","S12000017"
"656","Highland","Highland Council",480,"Small Hydro","Operational",2015-01-15,2,0,"Highland","S12000017"
"657","Highland","Highland Council",4371,"Wind Onshore","Operational",2022-01-01,48.5,20,"Highland","S12000017"
"658","Highland","Highland Council",421,"Small Hydro","Operational",1980-01-01,4,0,"Highland","S12000017"
"659","Highland","Highland Council",485,"Small Hydro","Operational",2012-06-01,3.5,0,"Highland","S12000017"
"660","Highland","Highland Council",426,"Small Hydro","Operational",2009-08-05,2.5,0,"Highland","S12000017"
"661","Highland","Highland Council",7281,"Solar Photovoltaics","Operational",2019-12-01,0.3,0,"Highland","S12000017"
"662","Highland","Highland Council",484,"Small Hydro","Operational",2014-03-01,4,0,"Highland","S12000017"
"663","Highland","Highland Council",8535,"Wind Onshore","Application Submitted",NA,48,10,"Highland","S12000017"
"664","Highland","Highland Council",4351,"Wind Onshore","Awaiting Construction",NA,38,14,"Highland","S12000017"
"665","Highland","Highland Council",7310,"Solar Photovoltaics","Operational",2019-11-01,0.2,0,"Highland","S12000017"
"666","Highland","Highland Council",404,"Large Hydro","Operational",1956-01-01,20,0,"Highland","S12000017"
"667","Highland","Highland Council",494,"Small Hydro","Operational",2016-12-15,1.2,0,"Highland","S12000017"
"668","Highland","Highland Council",390,"Large Hydro","Operational",2006-08-01,7.5,0,"Highland","S12000017"
"669","Highland","Highland Council",3433,"Wind Onshore","Operational",2015-10-15,2.3,1,"Highland","S12000017"
"670","Highland","Highland Council",3207,"Wind Onshore","Operational",2008-02-01,3.9,3,"Highland","S12000017"
"671","Highland","Highland Council",3205,"Wind Onshore","Operational",2010-10-11,38,19,"Highland","S12000017"
"672","Highland","Highland Council",3436,"Wind Onshore","Awaiting Construction",NA,2.4,3,"Highland","S12000017"
"673","Highland","Highland Council",4646,"Wind Onshore","Operational",2019-05-01,26.7,13,"Highland","S12000017"
"674","Highland","Highland Council",4682,"Wind Onshore","Operational",2008-07-15,40,16,"Highland","S12000017"
"675","Highland","Highland Council",8134,"Wind Onshore","Under Construction",NA,4.1,1,"Highland","S12000017"
"676","Highland","Highland Council",399,"Large Hydro","Operational",1962-01-01,20,0,"Highland","S12000017"
"677","Highland","Highland Council",6091,"Biomass (dedicated)","Operational",2012-01-01,3.5,0,"Highland","S12000017"
"678","Highland","Highland Council",454,"Small Hydro","Operational",2017-08-01,1.5,0,"Highland","S12000017"
"679","Highland","Highland Council",2796,"Wind Onshore","Operational",2012-01-01,7.5,3,"Highland","S12000017"
"680","Highland","Highland Council",5172,"Wind Onshore","Awaiting Construction",NA,22.8,4,"Highland","S12000017"
"681","Highland","Highland Council",4420,"Wind Onshore","Operational",2019-03-01,39,13,"Highland","S12000017"
"682","Highland","Highland Council",3296,"Wind Onshore","Operational",1997-09-01,9,18,"Highland","S12000017"
"683","Highland","Highland Council",3746,"Wind Onshore","Operational",2013-04-19,10,5,"Highland","S12000017"
"684","Highland","Highland Council",6730,"Small Hydro","Awaiting Construction",NA,0.8,0,"Highland","S12000017"
"685","Highland","Highland Council",3757,"Wind Onshore","Operational",2013-03-31,10,5,"Highland","S12000017"
"686","Highland","Highland Council",4120,"Wind Onshore","Operational",2017-04-26,54.4,17,"Highland","S12000017"
"687","Highland","Highland Council",468,"Small Hydro","Operational",1956-01-01,3,0,"Highland","S12000017"
"688","Highland","Highland Council",6657,"Small Hydro","Awaiting Construction",NA,1,0,"Highland","S12000017"
"689","Highland","Highland Council",469,"Small Hydro","Operational",1962-01-01,2,0,"Highland","S12000017"
"690","Highland","Highland Council",470,"Small Hydro","Operational",1959-01-01,3.5,0,"Highland","S12000017"
"691","Highland","Highland Council",3135,"Wind Onshore","Operational",2007-09-01,23,10,"Highland","S12000017"
"692","Highland","Highland Council",8196,"Wind Onshore","Application Submitted",NA,4.5,2,"Highland","S12000017"
"693","Highland","Highland Council",3285,"Wind Onshore","Operational",2009-05-20,6.2,3,"Highland","S12000017"
"694","Highland","Highland Council",402,"Large Hydro","Operational",1956-01-01,20,0,"Highland","S12000017"
"695","Highland","Highland Council",9640,"Wind Onshore","Awaiting Construction",NA,20,9,"Highland","S12000017"
"696","Highland","Highland Council",405,"Large Hydro","Operational",1962-01-01,15,0,"Highland","S12000017"
"697","Highland","Highland Council",3380,"Wind Onshore","Operational",2013-06-04,5,2,"Highland","S12000017"
"698","Highland","Highland Council",6636,"Wind Onshore","Operational",2003-07-01,2.6,2,"Highland","S12000017"
"699","Highland","Highland Council",8305,"Wind Onshore","Awaiting Construction",NA,24,5,"Highland","S12000017"
"700","Highland","Highland Council",424,"Small Hydro","Operational",2005-05-01,3.5,0,"Highland","S12000017"
"701","Highland","Highland Council",502,"Small Hydro","Operational",2015-12-15,1.3,0,"Highland","S12000017"
